accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.21,-0.49,0.96,15.38,14.87,-1.42
-0.22,-0.45,1.01,20.56,17.62,-1.3
-0.2,-0.45,0.98,17.94,17.25,-1.73
-0.18,-0.47,0.98,18.73,17.8,-1.66
-0.21,-0.47,0.98,19.28,19.81,-2.15
-0.2,-0.47,0.98,21.3,19.39,-2.95
-0.19,-0.39,1.05,22.94,17.74,-1.97
-0.21,-0.47,0.98,23.25,19.94,-1.73
-0.2,-0.44,0.98,27.71,20.42,-2.09
-0.11,-0.09,1.68,33.02,33.18,-8.07
-0.25,-0.43,0.97,6.53,25.8,-7.83
-0.24,-0.46,0.98,7.38,36.42,-7.22
-0.27,-0.4,0.95,24.71,10.11,-7.16
-0.22,-0.48,1.01,31.06,-1.12,-8.87
-0.22,-0.46,0.99,31.43,5.47,-9.23
-0.22,-0.47,1.0,41.93,2.24,-1.73
-0.2,-0.55,0.87,-15.39,14.63,3.34
-0.13,-0.5,0.94,9.03,33.61,5.96
-0.24,-0.41,0.96,2.8,41.54,-2.89
-0.25,-0.41,1.03,16.78,26.89,-4.41
-0.24,-0.48,0.95,16.72,22.87,-3.92
-0.22,-0.49,0.95,13.06,14.81,-2.34
-0.22,-0.49,0.99,21.97,18.9,-1.24
-0.22,-0.48,0.98,23.25,23.48,-1.85
-0.26,-0.46,0.99,10.25,21.83,-1.18
-0.21,-0.51,0.94,20.08,27.02,1.88
-0.28,-0.35,0.99,4.21,38.74,-5.39
-0.27,-0.48,0.99,12.75,21.28,-4.11
-0.26,-0.45,0.97,10.13,27.2,-3.68
-0.28,-0.49,1.0,10.8,32.75,-2.64
-0.3,-0.51,1.02,23.37,7.49,5.72
-0.23,-0.47,0.99,24.9,1.56,-0.32
-0.21,-0.47,0.99,8.91,35.62,-7.46
-0.27,-0.41,0.97,18.79,16.15,5.29
-0.3,-0.32,1.08,12.45,-48.79,-8.99
-0.07,-0.57,0.94,27.89,-15.46,-5.57
-0.16,-0.52,0.89,69.51,39.04,1.39
-0.2,-0.43,0.98,8.48,12.98,0.78
-0.25,-0.38,0.94,25.87,12.8,-15.76
-0.15,-0.49,1.0,32.95,-0.75,-14.48
-0.0,-0.48,0.97,29.29,27.5,25.07
-0.31,-0.36,0.96,27.4,34.1,25.07
-0.24,-0.66,0.75,-19.17,-15.83,-17.29
-0.04,-0.52,0.9,-6.54,6.45,-16.31
-0.16,-0.45,1.03,-10.08,24.21,-7.34
-0.15,-0.56,0.98,-13.19,25.73,-2.95
