accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.1,-0.56,1.03,-4.27,-1.54,-9.26
-0.13,-0.59,1.04,-0.24,3.89,-9.87
-0.23,-0.58,1.09,1.89,-3.74,-26.9
-0.06,-0.48,1.07,14.71,10.54,-23.06
-0.02,-0.44,1.07,21.12,-12.53,-11.77
-0.08,-0.5,1.03,-0.92,-13.38,-0.54
-0.1,-0.51,1.03,8.06,1.32,-2.24
-0.16,-0.41,1.07,-23.87,5.72,4.84
-0.1,-0.48,1.04,-15.69,-2.03,-4.5
-0.13,-0.47,1.03,-13.12,8.28,-3.71
-0.12,-0.46,1.01,-4.03,-12.59,-1.02
-0.18,-0.33,0.99,1.59,9.5,-10.85
-0.04,-0.54,1.06,24.23,-54.52,-9.57
-0.07,-0.54,1.08,2.81,-11.13,-0.78
-0.13,-0.67,1.13,-4.09,-23.33,-11.03
-0.08,-0.42,0.98,-29.79,24.82,-12.62
0.01,-0.45,0.99,-10.56,7.0,-7.07
-0.09,-0.5,1.04,17.39,-23.33,16.74
-0.15,-0.52,1.07,5.98,-16.99,9.41
-0.19,-0.48,1.06,5.07,-36.39,-11.03
0.04,-0.46,1.0,-2.08,-31.39,-38.38
0.05,-0.46,0.98,-6.53,4.32,-15.49
-0.12,-0.49,1.05,-5.07,3.4,-10.79
-0.02,-0.47,1.03,6.16,2.12,-1.15
-0.11,-0.5,0.97,-71.6,2.42,25.34
-0.08,-0.58,1.05,-33.33,11.33,7.95
-0.05,-0.58,1.0,-4.21,3.64,7.22
-0.08,-0.52,1.08,-1.65,7.25,1.36
-0.09,-0.54,1.08,-8.36,6.39,0.5
-0.1,-0.57,1.06,-8.48,0.23,0.14
