accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.2,-0.38,1.0,-12.22,-10.05,-12.65
-0.11,-0.37,0.97,-3.37,-13.65,-20.22
-0.01,-0.29,0.97,-6.91,-24.51,-12.34
0.02,-0.41,0.79,13.17,-6.2,-3.49
-0.17,-0.31,0.99,9.69,-5.59,-4.23
-0.16,-0.24,1.04,14.51,-32.2,1.94
-0.07,-0.34,0.9,22.14,-19.2,12.5
-0.15,-0.21,1.05,17.87,-13.77,4.56
-0.09,-0.33,0.84,29.65,-11.33,0.47
-0.14,-0.25,0.91,-16.56,-11.64,4.32
-0.13,-0.26,0.94,-1.42,-18.78,-1.97
-0.12,-0.34,1.01,-32.37,-0.34,-20.89
-0.05,-0.21,0.89,-18.76,1.91,2.61
-0.15,-0.23,0.91,-19.98,11.01,4.01
-0.28,-0.14,0.9,25.43,-75.23,18.85
-0.05,-0.41,1.03,12.92,-60.95,-6.85
-0.07,-0.36,0.99,-34.56,-5.23,-24.43
-0.05,-0.22,0.88,-0.14,-14.26,3.16
-0.19,-0.22,1.07,-33.4,-33.73,31.05
-0.03,-0.36,0.85,-23.64,-27.87,22.26
-0.1,-0.34,0.9,-8.68,-12.92,7.37
-0.07,-0.28,0.95,-5.27,-9.19,1.33
-0.06,-0.29,0.93,-8.75,-1.08,2.24
-0.07,-0.26,0.97,-7.34,-6.94,3.95
-0.07,-0.3,0.95,-15.89,0.33,5.11
