accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.39,-0.53,1.1,-4.67,3.0,-4.91
-0.68,-0.42,1.47,-12.36,12.95,-12.36
-0.54,-0.56,1.13,-32.32,-14.52,-36.65
-0.14,-0.34,1.2,8.39,-4.26,-43.37
-0.14,-0.46,0.99,0.27,-13.66,-19.01
-0.32,-0.42,1.19,1.56,20.34,-11.93
-0.46,-0.54,1.02,15.11,-14.15,-9.43
-0.35,-0.35,1.2,32.2,10.88,-22.68
-0.44,-0.52,1.04,-2.17,-4.26,-1.74
-0.46,-0.42,1.16,2.9,5.44,-2.47
-0.43,-0.42,1.12,-1.68,2.94,-0.76
-0.47,-0.43,1.19,-2.59,2.7,-0.4
-0.45,-0.48,1.07,-6.01,1.05,1.68
-0.47,-0.42,1.12,-4.79,0.87,1.31
-0.44,-0.49,1.08,0.95,-9.45,1.68
-0.49,-0.44,1.15,1.07,-13.54,0.88
-0.42,-0.49,1.1,-0.88,-17.75,2.1
-0.46,-0.41,1.18,6.87,3.67,-1.8
-0.45,-0.46,1.11,3.88,0.99,-1.92
-0.44,-0.41,1.14,-3.39,-2.55,-0.09
-0.44,-0.44,1.14,-1.25,-1.51,-0.34
-0.46,-0.45,1.11,-3.51,-5.42,1.19
-0.44,-0.4,1.16,-0.15,-2.8,-0.7
-0.46,-0.43,1.14,0.95,-5.05,-0.28
-0.45,-0.44,1.14,1.31,-1.88,-1.07
-0.44,-0.44,1.12,4.12,-2.25,-1.86
-0.46,-0.45,1.11,1.25,-2.19,-1.74
-0.45,-0.52,1.06,19.87,2.64,-5.95
-0.44,-0.43,1.12,-13.52,3.43,4.24
-0.51,-0.36,1.08,-9.74,8.56,-3.33
-0.52,-0.4,1.1,17.55,-49.55,-6.81
-0.35,-0.54,1.16,11.02,-34.41,-1.98
-0.41,-0.62,1.2,-17.49,2.88,-11.32
-0.34,-0.28,0.98,-7.48,-13.6,-3.57
-0.46,-0.43,1.1,-0.95,-0.78,-18.46
-0.36,-0.51,1.14,6.5,-18.18,-1.62
-0.44,-0.54,1.19,-18.59,-13.23,-8.45
-0.37,-0.33,1.03,-2.96,-7.68,-1.56
-0.48,-0.41,1.12,0.03,-1.7,-12.42
-0.42,-0.43,1.11,7.23,-6.15,-15.17
-0.42,-0.48,1.15,3.81,-7.56,-2.59
-0.41,-0.43,1.11,4.43,-13.23,0.46
-0.48,-0.12,1.39,-41.96,-6.82,30.43
-0.36,-0.53,1.04,-25.67,-15.0,8.51
-0.42,-0.49,1.08,-12.48,-7.98,4.0
-0.37,-0.46,1.12,-1.31,-4.81,2.04
-0.35,-0.47,1.12,-11.75,8.13,5.89
-0.42,-0.5,1.13,-15.9,16.73,9.31
-0.41,-0.5,1.18,-19.62,14.11,6.93
-0.41,-0.53,1.17,-20.6,11.06,7.17
