accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.41,-0.51,1.12,3.54,3.28,-7.4
-0.35,-0.52,1.03,5.98,-7.22,-11.55
-0.35,-0.48,1.07,12.15,0.35,-11.98
-0.38,-0.51,1.05,8.85,-10.76,-16.43
-0.38,-0.41,1.1,34.24,16.03,-19.3
-0.39,-0.38,1.07,15.26,-8.87,-13.44
-0.41,-0.5,1.0,15.14,-5.03,-2.4
-0.42,-0.37,1.08,14.47,-6.31,-6.0
-0.4,-0.52,0.94,24.05,1.08,-4.65
-0.48,-0.41,1.01,-0.55,-5.15,3.89
-0.41,-0.37,1.0,-14.53,8.4,0.53
-0.52,-0.28,1.03,-0.12,-8.75,-6.24
-0.38,-0.44,1.03,15.81,-43.97,-11.86
-0.43,-0.42,1.06,-1.28,-8.14,-2.95
-0.47,-0.39,1.05,-19.59,-4.84,8.59
-0.39,-0.33,0.98,-8.91,-9.11,-9.54
-0.44,-0.34,1.01,-8.12,4.56,-16.62
-0.43,-0.37,1.02,16.42,-29.2,-17.29
-0.38,-0.44,1.06,7.08,-19.31,-9.54
-0.39,-0.42,1.05,19.59,-42.26,-2.21
-0.42,-0.46,0.89,-47.18,-22.05,31.42
-0.38,-0.46,0.97,-29.6,6.08,18.11
-0.38,-0.46,1.0,-14.47,-2.28,8.59
-0.37,-0.45,1.05,-13.85,3.64,6.7
-0.35,-0.46,1.02,-10.13,6.63,5.78
