accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.63,-0.59,1.16,-12.11,0.85,-17.99
-0.24,-0.46,1.06,-10.53,-36.5,-34.59
-0.23,-0.52,0.92,-7.96,-17.22,-34.65
-0.2,-0.4,1.03,4.85,1.34,-39.84
-0.2,-0.38,1.03,12.3,-27.29,-49.12
-0.28,-0.5,1.01,12.3,-18.44,-45.82
-0.13,-0.38,0.97,27.25,-33.57,-40.15
-0.16,-0.22,1.04,34.03,-21.0,-28.31
-0.33,-0.4,0.99,15.47,-9.34,-18.23
-0.24,-0.23,1.09,22.8,-12.27,-17.99
-0.28,-0.48,0.81,23.47,-2.2,-18.6
-0.21,-0.38,0.95,-9.37,-5.19,0.75
-0.26,-0.28,0.93,-16.14,32.71,0.32
-0.37,-0.28,0.96,-0.64,3.17,11.31
-0.4,-0.33,1.01,25.18,-52.07,6.79
-0.32,-0.41,1.06,11.57,-34.79,-13.41
-0.14,-0.37,0.97,-18.4,-12.76,-27.7
-0.05,-0.27,0.84,-21.76,39.73,5.94
-0.53,-0.28,1.04,8.64,-6.29,23.76
-0.25,0.06,1.5,-57.77,-95.4,31.81
-0.14,-0.5,0.81,-57.34,-41.39,1.66
-0.22,-0.55,0.9,-17.0,-5.68,-9.81
-0.14,-0.37,0.97,-4.49,-13.43,-7.68
-0.15,-0.41,1.02,-1.31,10.07,-2.18
-0.19,-0.42,1.04,-7.48,10.19,3.43
