accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.39,-0.5,1.21,4.2,-0.54,-7.66
-0.4,-0.5,1.2,9.32,5.63,-12.61
-0.38,-0.55,1.12,3.4,-2.92,-5.53
-0.37,-0.57,1.13,5.11,-5.85,-3.88
-0.36,-0.54,1.17,8.65,15.94,-9.98
-0.42,-0.54,1.13,1.51,24.12,-6.99
-0.54,-0.48,1.15,-25.22,54.4,-0.52
-0.5,-0.45,1.16,-10.51,6.42,-9.49
-0.54,-0.4,1.19,4.01,-5.85,-13.7
-0.46,-0.49,1.18,29.89,-79.82,-20.66
-0.36,-0.55,1.19,14.21,-27.27,-14.74
-0.37,-0.55,1.2,15.92,-21.59,-6.87
-0.46,-0.62,1.04,-38.89,9.54,28.72
-0.36,-0.57,1.0,3.59,44.75,7.35
-0.49,-0.5,1.15,-7.7,1.97,2.23
-0.45,-0.5,1.21,-1.91,-0.78,0.88
-0.5,-0.54,1.24,-8.92,-2.37,-9.98
-0.27,-0.47,1.09,-2.21,-13.54,-22.37
-0.41,-0.53,1.21,-0.99,6.67,-15.41
-0.35,-0.55,1.18,25.5,-14.27,31.34
-0.48,-0.5,1.24,30.2,-55.16,19.99
-0.46,-0.65,0.89,-75.09,-20.07,1.07
-0.24,-0.58,1.07,-34.93,-16.04,-8.64
-0.3,-0.66,1.09,-9.72,0.75,-9.86
-0.27,-0.53,1.18,-0.62,-2.37,-6.01
-0.28,-0.58,1.17,-0.5,13.14,-2.35
-0.33,-0.52,1.24,1.33,11.43,1.13
-0.31,-0.57,1.18,-3.25,8.13,3.75
