accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.18,-0.47,1.17,2.81,-23.99,-18.16
-0.26,-0.55,1.11,1.65,-15.69,-19.32
-0.28,-0.52,1.13,-2.07,-29.0,-32.63
-0.29,-0.56,1.07,8.61,-8.55,-26.89
-0.2,-0.39,1.22,16.24,-18.56,-24.69
-0.23,-0.53,1.08,12.09,-11.42,-18.53
-0.25,-0.42,1.16,2.63,-12.52,-13.09
-0.26,-0.52,1.08,16.85,-9.65,-13.64
-0.27,-0.4,1.14,9.71,-8.49,-14.38
-0.29,-0.51,1.03,21.12,-4.65,-16.21
-0.27,-0.42,1.09,-6.41,-9.71,-2.66
-0.27,-0.55,1.19,-1.34,-11.24,-7.97
-0.23,-0.48,1.11,-9.58,5.97,0.88
-0.31,-0.4,1.06,-8.24,28.25,12.72
-0.35,-0.41,1.09,20.94,-41.45,22.25
-0.26,-0.51,1.14,38.88,-81.18,10.22
-0.37,-0.53,1.24,18.86,-48.29,-6.01
-0.12,-0.41,0.99,-22.03,20.14,-9.49
-0.25,-0.42,1.06,-13.67,29.72,-7.84
-0.25,-0.47,1.1,2.63,-11.24,1.49
-0.26,-0.48,1.11,-1.95,-0.98,-6.01
-0.24,-0.47,1.1,1.22,-5.5,-3.39
-0.26,-0.47,1.1,0.86,-4.95,-4.67
-0.25,-0.47,1.11,2.87,-7.03,-2.29
-0.27,-0.47,1.11,0.86,-0.86,-0.52
-0.32,-0.41,1.09,22.65,-55.3,1.19
-0.19,-0.45,1.07,22.52,-54.57,-22.0
-0.17,-0.43,1.06,18.8,-41.51,-18.83
-0.18,-0.45,1.05,23.01,-28.69,-20.48
-0.24,-0.51,0.94,-73.97,-12.95,29.87
-0.14,-0.47,1.06,-47.97,3.78,12.72
-0.18,-0.49,1.09,-25.27,10.37,1.55
-0.15,-0.48,1.1,-16.66,15.07,0.46
-0.14,-0.46,1.14,-18.31,26.3,1.55
-0.03,-0.47,0.99,-0.12,22.15,9.18
-0.31,-0.65,1.18,-9.28,1.89,27.19
-0.37,-0.73,1.21,13.06,5.73,9.55
