accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.37,-0.48,1.05,10.1,-7.62,-11.05
-0.23,-0.38,1.15,11.2,-10.55,-3.36
-0.5,-0.53,1.08,3.75,-0.97,-15.38
-0.24,-0.42,0.98,18.28,-22.45,-32.17
-0.35,-0.28,1.17,16.75,5.5,-13.79
-0.37,-0.45,1.0,11.44,-4.14,-6.96
-0.35,-0.31,1.1,20.36,6.36,-7.87
-0.42,-0.46,0.89,15.29,11.91,-1.65
-0.42,-0.36,1.0,-7.35,-13.05,0.61
-0.36,-0.37,1.02,-9.25,-6.34,0.18
-0.55,-0.32,1.05,8.09,-43.75,-34.24
-0.19,-0.38,0.96,8.45,-26.84,-20.69
-0.44,-0.43,1.08,0.28,-16.59,8.42
-0.44,-0.5,1.13,-9.06,-15.8,23.56
-0.25,-0.19,0.88,-28.78,26.38,-17.64
-0.46,-0.35,1.04,-9.43,31.57,-1.04
-0.18,0.05,1.75,29.14,-77.02,22.89
-0.34,-0.53,0.87,-55.57,-18.3,15.01
-0.3,-0.46,1.01,-36.47,3.43,7.93
-0.4,-0.47,1.05,-24.32,-7.13,5.68
-0.22,-0.44,0.92,-11.93,-9.88,6.77
-0.3,-0.54,1.06,-7.84,18.02,16.42
-0.39,-0.55,1.14,-4.85,2.02,18.31
