accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.31,-0.43,1.04,2.47,-8.4,-1.28
-0.29,-0.41,1.04,0.7,-3.58,-1.16
-0.47,-0.43,1.18,-2.1,0.45,-8.73
-0.24,-0.43,0.95,4.73,-9.43,-13.98
-0.76,-0.4,1.79,-21.02,137.42,-79.47
-0.39,-0.31,1.01,-9.55,-57.23,-49.07
-0.04,-0.39,0.66,24.87,-34.28,-49.99
-0.24,-0.31,1.17,16.63,-41.23,-52.67
-0.52,-0.65,0.83,17.85,-3.58,-56.7
-0.12,0.26,1.43,24.26,-39.59,-27.28
-0.3,-0.31,1.01,26.03,0.82,-21.55
-0.47,-0.09,1.28,32.44,9.67,-19.04
-0.37,-0.31,0.9,24.2,-24.94,-9.34
-0.41,-0.17,1.08,18.4,-4.37,-12.33
-0.38,-0.11,1.0,-16.33,0.76,6.04
-0.41,-0.24,0.96,-0.88,-14.62,0.37
-0.41,-0.32,1.02,-6.93,-2.72,-2.32
-0.34,-0.29,0.99,-14.31,19.74,-1.95
-0.44,-0.23,0.96,-12.54,23.83,-2.75
-0.49,-0.23,0.99,16.76,-27.2,23.5
-0.42,-0.32,1.02,18.59,-48.07,10.38
-0.39,-0.27,0.98,-5.22,-12.36,-30.4
-0.3,-0.23,0.94,-5.46,7.41,-21.36
-0.35,-0.23,0.95,4.24,13.76,1.59
-0.47,-0.29,1.04,16.94,-24.75,25.08
-0.24,-0.02,1.26,43.37,-75.11,34.36
-0.45,-0.28,1.02,-51.91,-29.82,16.6
-0.19,-0.34,0.84,-28.59,-24.88,-0.61
-0.33,-0.3,1.02,-12.54,0.03,-3.97
-0.24,-0.36,0.92,-5.22,-4.67,-1.1
-0.24,-0.28,1.02,-7.41,17.12,6.53
