accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.25,-0.58,1.02,-9.08,-25.1,-0.33
-0.24,-0.54,1.04,-9.63,-29.74,-4.97
-0.21,-0.57,1.0,-5.36,-27.66,-1.55
-0.23,-0.55,1.05,-5.12,-25.89,1.74
-0.25,-0.58,0.98,1.17,-19.61,-9.0
-0.21,-0.52,1.05,2.57,-13.2,-3.63
-0.27,-0.58,0.95,0.01,3.53,-0.88
-0.29,-0.47,1.0,-31.48,4.01,-4.18
-0.3,-0.54,1.04,-15.61,-20.83,9.86
-0.28,-0.51,1.01,16.61,-80.28,1.31
-0.26,-0.59,1.08,9.35,-62.94,-4.55
-0.21,-0.55,1.04,-16.41,-26.75,-17.0
-0.15,-0.48,0.96,-5.05,-16.8,9.07
-0.22,-0.38,1.15,-5.6,-31.2,34.94
-0.2,-0.57,0.85,0.32,-35.96,30.43
-0.18,-0.58,0.83,36.69,-46.03,8.88
-0.18,-0.5,1.01,-16.53,-14.66,5.4
-0.25,-0.56,1.09,-31.24,-1.23,-6.5
-0.07,-0.45,0.89,-27.45,-1.91,-13.33
-0.2,-0.52,1.0,-16.96,-11.18,-1.92
-0.21,-0.53,1.03,-4.44,-21.25,6.62
-0.06,-0.08,1.63,-27.52,-64.96,51.0
-0.17,-0.69,0.77,-54.55,-25.1,24.39
-0.16,-0.65,0.96,-36.12,-29.13,1.68
-0.08,-0.67,0.98,-22.82,-14.54,2.11
-0.09,-0.62,1.01,-34.35,34.59,5.1
-0.3,-0.66,1.13,-24.71,31.3,3.51
-0.29,-0.71,1.09,-20.13,-3.92,4.85
