accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.38,-0.46,1.12,1.39,1.97,-3.08
-0.26,-0.43,1.06,10.61,-28.98,2.9
-0.35,-0.43,1.06,-11.85,-52.66,-41.17
-0.16,-0.55,0.79,0.05,-15.61,-44.65
-0.22,-0.43,1.06,2.43,19.06,-43.43
-0.19,-0.39,1.02,8.77,-16.1,-21.7
-0.25,-0.49,0.9,24.83,-12.19,-18.89
-0.3,-0.37,1.05,33.19,-3.47,-10.65
-0.48,-0.54,0.81,-3.19,-24.71,13.4
-0.29,-0.4,0.98,9.75,-9.75,-0.46
-0.36,-0.36,1.11,9.87,-1.39,-9.43
-0.27,-0.39,0.98,10.54,-16.1,2.72
-0.34,-0.35,1.04,0.11,-0.66,1.49
-0.33,-0.46,0.91,12.74,6.67,-1.25
-0.34,-0.34,0.97,-3.74,-10.36,1.01
-0.33,-0.33,1.01,5.36,-24.4,-6.26
-0.29,-0.41,1.05,10.85,-22.27,-9.86
-0.3,-0.43,1.05,-7.4,-2.37,-16.02
-0.25,-0.27,0.93,-13.14,29.13,6.99
-0.34,-0.37,1.03,-3.92,1.05,2.23
-0.38,-0.27,1.0,-1.3,5.44,-10.22
-0.3,-0.45,1.07,11.09,-23.06,-13.03
-0.38,-0.38,1.06,6.94,-12.19,-16.27
-0.21,-0.41,1.01,20.13,12.28,13.88
-0.36,-0.45,0.84,-43.59,19.48,10.04
-0.33,-0.4,1.03,-23.63,2.27,8.33
-0.33,-0.41,1.06,-10.02,-10.91,5.1
-0.27,-0.43,1.05,-13.44,-1.45,3.33
