accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.28,-0.6,1.19,8.12,-1.03,-1.27
-0.3,-0.63,1.18,2.63,-3.65,-0.66
-0.28,-0.63,1.16,3.36,-4.02,0.26
-0.29,-0.64,1.17,1.83,-3.22,-0.23
-0.29,-0.65,1.16,4.21,-1.15,0.75
-0.29,-0.63,1.16,1.95,-4.5,0.75
-0.29,-0.66,1.14,2.2,4.41,-0.17
-0.31,-0.59,1.18,-19.04,12.77,7.03
-0.28,-0.63,1.16,-23.25,12.4,-3.28
-0.32,-0.65,1.19,-8.24,-2.55,-1.21
-0.35,-0.61,1.18,11.35,-28.8,-8.77
-0.26,-0.65,1.18,16.85,-32.34,-10.67
-0.27,-0.67,1.2,9.22,-18.85,-9.39
-0.45,-0.85,1.4,-8.85,-9.02,-15.55
-0.25,-0.55,1.09,-35.09,41.82,-9.32
-0.31,-0.63,1.18,-8.36,14.11,-3.59
-0.32,-0.66,1.21,-3.48,9.47,-2.92
-0.26,-0.67,1.21,43.7,-30.38,6.18
-0.34,-0.7,1.16,-16.6,-39.66,59.89
-0.2,-0.73,1.07,-21.67,-10.49,14.05
