accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.23,-0.53,1.06,0.86,3.11,-1.91
-0.24,-0.49,1.05,-1.71,3.78,-2.4
-0.45,-0.48,1.38,-23.86,49.5,-23.03
-0.18,-0.57,0.89,-8.42,-21.3,-21.81
-0.14,-0.56,0.98,0.0,-4.46,-17.04
-0.22,-0.52,1.06,1.59,16.48,-18.51
-0.25,-0.47,1.13,2.63,4.45,-13.14
-0.31,-0.55,0.99,1.16,1.89,-14.42
-0.31,-0.54,1.07,11.41,5.0,-39.93
-0.15,-0.37,1.21,16.11,-17.21,-24.49
-0.28,-0.49,1.06,20.2,-14.22,-5.75
-0.25,-0.51,0.96,8.79,-21.24,3.34
-0.27,-0.46,1.1,9.46,-2.69,-8.56
-0.21,-0.49,0.97,8.61,-15.51,3.89
-0.32,-0.5,1.06,12.45,0.36,-4.29
-0.23,-0.49,0.97,11.66,-3.91,-2.03
-0.28,-0.45,1.05,-20.57,17.39,0.11
-0.27,-0.41,1.01,-8.67,7.26,-1.18
-0.36,-0.37,1.03,8.91,-21.79,-7.34
-0.23,-0.54,1.09,16.6,-44.99,-10.64
-0.27,-0.46,1.06,16.79,-33.82,2.91
-0.17,-0.41,0.98,-21.73,27.4,-6.91
-0.26,-0.41,1.01,-5.0,4.7,0.05
-0.25,-0.46,1.05,-2.44,-0.55,0.59
-0.27,-0.47,1.05,9.83,-19.59,-18.51
-0.26,-0.54,1.09,3.36,-8.79,-14.18
-0.18,-0.47,1.02,-15.07,21.67,-0.44
-0.24,-0.41,1.01,-12.45,56.52,24.03
-0.32,-0.42,1.05,20.26,-32.96,24.15
-0.34,-0.24,1.28,-36.5,-42.36,26.05
-0.21,-0.61,0.84,-39.55,-34.3,9.51
-0.13,-0.62,0.94,-21.36,15.62,-1.85
-0.21,-0.52,1.1,1.16,1.58,-4.29
-0.13,-0.55,1.02,6.1,-1.47,-2.88
