accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.21,-0.51,1.06,-1.39,-6.38,-1.05
-0.21,-0.5,1.09,0.02,-12.3,-1.79
-0.21,-0.51,1.05,1.48,-10.41,-2.76
-0.23,-0.48,1.09,-13.05,-6.75,-21.74
-0.23,-0.6,0.88,-10.36,1.61,-28.03
-0.27,-0.5,1.14,2.46,-4.12,-23.09
-0.33,-0.57,1.06,-23.85,3.75,-49.39
-0.17,-0.53,1.03,6.67,-25.61,-41.89
-0.02,-0.37,1.0,30.05,-17.92,-8.32
-0.34,-0.57,1.03,8.32,-23.66,1.88
-0.2,-0.42,1.09,29.44,-33.79,-6.0
-0.17,-0.5,0.98,14.73,-36.96,11.15
-0.17,-0.37,1.13,13.51,-16.21,3.1
-0.16,-0.44,1.02,10.76,-17.92,0.53
-0.17,-0.45,1.02,7.22,-10.47,-3.56
-0.16,-0.44,1.02,6.55,-8.52,-0.87
-0.17,-0.46,1.0,6.12,-7.36,-0.38
-0.16,-0.44,1.0,1.97,-8.15,0.23
-0.16,-0.45,1.0,3.98,-0.52,-1.97
-0.17,-0.43,1.02,2.4,-4.12,-1.11
-0.16,-0.42,1.01,2.27,-3.51,-0.08
-0.16,-0.43,1.01,3.13,-2.96,-0.02
-0.17,-0.45,0.99,0.57,-3.88,0.11
-0.17,-0.42,1.02,3.19,-5.53,-0.81
-0.15,-0.45,0.98,0.63,-5.47,-0.38
-0.18,-0.43,1.01,2.76,-2.35,-0.99
-0.16,-0.41,1.03,4.04,-3.57,-0.14
-0.15,-0.43,1.0,2.4,-3.7,-0.57
-0.17,-0.41,1.02,2.52,-5.16,-0.32
-0.15,-0.42,1.01,2.64,-6.5,0.17
-0.16,-0.42,1.01,3.01,-8.21,1.94
-0.16,-0.44,1.01,3.43,-4.98,0.78
-0.16,-0.49,0.94,16.31,-1.56,0.11
-0.16,-0.43,0.96,-15.3,-3.09,-3.8
-0.14,-0.4,1.0,-9.57,-14.07,-4.96
-0.11,-0.47,1.03,16.07,-41.48,-17.41
-0.16,-0.43,1.03,13.38,-24.02,5.84
-0.12,-0.4,0.95,-24.03,19.99,-9.84
-0.14,-0.37,0.97,-12.92,26.09,-6.55
-0.19,-0.39,1.0,20.77,-30.67,25.86
-0.19,-0.47,1.06,15.21,-44.28,2.0
-0.09,-0.48,1.02,-25.56,15.35,-47.99
-0.04,-0.32,0.9,-2.3,30.61,-1.85
-0.06,-0.24,1.21,55.25,-68.21,31.29
-0.04,-0.47,0.93,-27.39,-49.96,37.58
-0.08,-0.48,0.9,-40.45,-1.87,5.35
-0.02,-0.58,0.94,-14.08,3.69,0.29
-0.08,-0.42,1.05,-6.15,17.85,-2.4
-0.06,-0.48,0.99,-13.72,13.15,-0.99
-0.11,-0.54,1.01,-14.39,26.58,-0.02
-0.14,-0.51,1.06,-7.37,11.87,-3.19
