accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.14,-0.4,1.04,3.43,-4.26,-3.24
-0.23,-0.42,1.07,-2.0,5.38,-2.93
-0.56,-0.49,1.26,-21.41,53.91,-40.28
-0.25,-0.51,0.97,-15.24,-14.88,-34.24
-0.24,-0.45,1.0,-5.54,2.03,-37.9
-0.19,-0.42,1.1,-7.67,2.51,-32.29
-0.19,-0.53,0.88,17.78,-4.38,-37.35
-0.15,-0.31,1.09,21.26,-18.3,-20.2
-0.15,-0.36,1.07,29.8,-26.54,-4.09
-0.31,-0.44,0.95,14.36,-28.25,8.61
-0.28,-0.4,1.03,25.71,-25.62,-0.24
-0.16,-0.36,0.96,24.19,-25.07,2.2
-0.17,-0.32,0.98,20.04,-1.76,-1.4
-0.23,-0.37,0.97,19.12,11.3,-6.78
-0.22,-0.29,0.96,-19.58,14.97,0.37
-0.22,-0.34,0.99,-8.9,-3.04,7.38
-0.19,-0.39,1.03,8.38,-34.66,-9.95
-0.21,-0.39,1.02,-2.12,-1.82,-10.44
-0.18,-0.25,0.92,-22.08,40.05,-5.86
-0.26,-0.34,1.0,-12.13,13.56,-2.01
-0.23,-0.3,0.97,11.12,-25.01,-23.99
-0.22,-0.35,1.01,16.62,-36.79,-18.31
-0.14,-0.38,0.99,9.66,-13.66,-3.05
-0.19,-0.36,1.0,8.07,-3.34,32.59
-0.24,-0.39,1.03,-7.19,-2.37,13.43
-0.3,-0.32,1.01,-42.89,47.8,-27.1
-0.14,-0.26,0.94,-12.13,31.63,-7.45
-0.32,-0.36,1.06,7.58,-2.92,4.64
-0.45,-0.35,0.81,-95.99,18.93,25.69
-0.11,-0.48,0.88,-36.73,-45.09,12.15
-0.28,-0.49,1.01,-18.72,-7.25,-0.43
-0.14,-0.44,1.04,-8.65,1.78,-0.12
-0.19,-0.44,1.03,-16.65,17.77,-4.94
