accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.22,-0.44,1.05,-1.66,-2.11,0.55
-0.22,-0.46,1.06,-0.01,-10.1,-0.49
-0.19,-0.39,1.15,-3.98,-10.9,-3.54
-0.04,-0.51,0.78,-1.97,-9.8,-8.73
-0.53,-0.45,1.4,-24.31,67.17,-20.45
-0.3,-0.44,0.9,-11.86,-39.22,-32.23
-0.08,-0.43,0.92,-3.86,-0.16,-33.75
-0.13,-0.46,1.04,12.07,-14.68,-26.61
-0.16,-0.46,1.0,25.38,-24.02,-42.54
-0.13,-0.33,1.01,20.98,-42.27,-31.98
0.0,-0.43,0.93,38.93,-72.12,-3.11
-0.17,-0.37,0.98,20.49,-11.08,-5.37
-0.12,-0.3,0.94,20.92,-35.86,11.66
-0.09,-0.38,0.91,21.16,-26.1,10.01
-0.13,-0.3,0.97,21.96,-2.66,2.62
-0.09,-0.36,0.88,16.77,-22.68,5.37
-0.06,-0.32,0.81,19.58,4.97,-1.59
-0.15,-0.29,0.93,-13.63,19.62,-5.25
-0.08,-0.28,0.94,-0.93,-8.33,8.6
-0.23,-0.34,1.01,-23.64,5.15,-24.48
0.1,-0.21,0.81,-2.33,-21.27,-13.73
-0.16,-0.23,0.93,-17.23,34.82,-23.62
-0.05,-0.26,0.9,34.96,-45.87,22.7
-0.14,-0.36,0.99,17.14,-23.96,11.9
-0.02,-0.27,0.88,14.27,-48.5,5.0
-0.04,-0.25,0.87,-27.05,-2.78,-34.36
0.0,-0.24,0.86,-11.61,13.82,-11.78
-0.05,-0.27,0.92,-0.38,1.74,-0.43
-0.08,-0.28,0.95,0.41,20.29,-8.79
-0.17,-0.1,0.94,-96.82,10.53,66.34
-0.07,-0.42,0.88,-60.5,-23.72,31.92
-0.09,-0.47,0.92,-34.87,-21.21,18.49
