accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.06,-0.72,1.24,-16.6,-13.82,6.35
-0.03,-0.7,1.25,-20.01,-9.97,1.71
-0.01,-0.73,1.2,-27.52,-7.96,-7.63
0.03,-0.78,1.23,-3.9,-14.49,5.37
-0.04,-0.71,1.25,4.77,-13.94,11.97
-0.05,-0.7,1.22,-3.78,-18.94,12.39
-0.04,-0.73,1.21,-7.56,-8.26,1.83
-0.11,-0.64,1.18,-21.72,-5.52,7.69
-0.08,-0.7,1.21,-17.45,-27.55,8.91
-0.44,-0.89,1.38,-11.65,-100.79,-8.73
0.45,-0.47,1.03,-35.15,-84.86,-61.4
0.19,-0.49,0.98,-18.3,36.6,12.21
-0.07,-0.64,1.19,43.65,-7.84,87.04
-0.03,-0.75,1.31,25.4,-18.09,63.6
0.03,-0.61,1.72,-25.57,-22.91,11.48
0.08,-0.72,1.12,-58.53,10.78,2.2
0.16,-0.75,1.1,-31.49,5.9,-2.68
0.06,-0.78,1.1,25.46,13.89,-12.08
-0.29,-0.74,1.29,-9.58,-76.38,12.15
0.26,-0.63,1.17,-38.02,-80.28,-90.27
0.28,-0.69,1.14,-15.74,-81.69,-33.44
-0.01,-0.53,1.04,-6.16,13.47,13.12
-0.01,-0.74,1.23,-76.1,-9.67,40.77
0.12,-0.88,1.17,-47.78,12.61,25.82
0.13,-0.79,1.15,-14.7,27.93,-11.72
-0.02,-0.65,1.27,-10.8,27.81,-10.5
-0.05,-0.73,1.25,-22.82,-5.39,17.34
0.05,-0.8,1.21,-17.08,-12.41,1.04
-0.02,-0.69,1.25,-9.58,9.44,2.2
-0.03,-0.72,1.25,-19.53,-11.74,7.57
