accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.38,0.58,0.65,1.1,-2.24,-2.67
-0.4,0.56,0.64,0.61,-0.41,-2.98
-0.37,0.56,0.61,0.18,-4.14,-6.52
-0.37,0.59,0.56,-1.59,13.93,-6.27
-0.47,0.68,0.74,21.42,-6.58,-10.97
-0.41,0.61,0.63,-1.34,8.74,-4.01
-0.43,0.59,0.62,-6.84,12.95,-6.09
-0.4,0.61,0.63,-4.58,16.19,-6.27
-0.42,0.58,0.64,-2.75,6.18,-9.45
-0.46,0.6,0.65,0.24,4.9,-4.38
-0.28,0.77,0.76,11.35,1.78,-19.33
-0.19,0.74,0.89,17.7,-12.13,-17.81
-0.43,0.59,0.62,0.67,-7.01,-3.4
-0.44,0.6,0.63,-2.01,-10.0,-1.82
-0.43,0.6,0.62,-0.61,-9.63,-2.85
-0.57,0.56,0.75,-7.45,3.86,-6.15
-0.42,0.6,0.62,-4.94,0.38,-4.99
-0.41,0.58,0.65,-5.07,6.67,-2.3
-0.42,0.56,0.66,-4.64,11.12,3.68
-0.43,0.55,0.68,-8.91,21.19,4.17
-0.72,0.71,0.65,-14.1,32.55,22.66
-0.5,0.58,0.68,-3.3,1.72,12.16
-0.35,0.55,0.64,-2.68,-6.82,12.65
-0.49,0.57,0.68,2.99,13.75,10.82
-0.39,0.57,0.65,12.7,-2.86,17.65
-0.55,0.52,0.8,25.33,-10.55,27.42
-0.41,0.61,0.6,20.81,6.54,18.51
-0.45,0.57,0.66,32.29,-15.98,17.04
-0.44,0.64,0.59,24.48,-24.22,6.55
-0.39,0.61,0.6,14.95,-31.85,-2.92
-0.35,0.59,0.6,2.32,-26.96,-10.91
-0.38,0.6,0.61,-9.4,-12.19,-16.28
-0.4,0.57,0.64,-22.52,-4.99,-21.23
-0.39,0.61,0.57,-26.55,-3.28,-26.54
-0.38,0.58,0.63,-4.27,-24.46,-9.57
-0.33,0.62,0.57,-19.04,-13.35,-15.06
-0.41,0.57,0.66,-14.28,0.93,-10.06
-0.38,0.6,0.58,-27.89,21.8,-21.47
-0.41,0.59,0.64,-7.87,-2.31,-9.08
-0.4,0.58,0.63,-6.04,1.72,-5.54
-0.42,0.56,0.67,-2.5,7.22,-3.04
-0.43,0.57,0.66,-1.95,4.84,-0.9
-0.42,0.57,0.67,-4.39,10.63,-2.12
-0.43,0.56,0.67,-4.09,16.98,-1.39
-0.4,0.6,0.62,7.2,-0.35,8.25
-0.46,0.5,0.79,27.47,-6.03,21.56
-0.44,0.51,0.78,47.0,-28.37,25.53
-0.39,0.63,0.56,30.88,-21.72,12.28
-0.35,0.58,0.63,30.88,-31.91,2.82
-0.44,0.67,0.55,16.11,-10.0,-9.32
-0.53,0.63,0.64,-16.66,-15.55,-37.34
-0.07,0.57,0.42,-15.2,-17.44,-32.27
-0.34,0.63,0.53,-4.21,-7.62,-14.94
-0.35,0.63,0.54,1.65,-5.54,-2.92
-0.25,0.88,0.89,15.56,8.5,6.48
-0.4,0.51,0.65,-44.98,-41.25,73.62
-0.29,0.46,0.49,-6.35,-9.26,15.58
-0.28,0.63,0.61,-7.57,-6.64,6.91
-0.24,0.48,0.5,0.37,-4.63,9.05
-0.28,0.62,0.59,4.94,10.51,-10.3
-0.29,0.55,0.59,1.65,-5.91,3.86
-0.3,0.57,0.59,1.83,11.98,-9.69
-0.31,0.59,0.6,1.83,1.11,1.24
