accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.09,0.54,0.6,1.11,7.03,-0.37
-0.12,0.56,0.63,1.05,6.67,-2.2
-0.14,0.53,0.67,-7.12,23.14,-14.77
-0.38,0.61,0.86,7.71,17.35,-18.19
-0.73,0.61,0.63,14.3,15.7,-1.04
-0.29,0.64,0.75,-11.4,70.87,-14.41
-0.3,0.47,0.65,8.74,2.39,0.06
-0.7,0.73,0.47,25.96,-33.56,36.93
-0.29,0.57,0.68,1.24,28.82,-10.8
-0.33,0.57,0.71,-5.84,10.08,-10.32
-0.23,0.61,0.66,-4.26,1.66,-17.95
-0.46,0.5,0.61,-4.44,13.44,-11.35
-0.25,0.8,1.03,0.2,2.58,-11.84
-0.35,0.55,0.69,-5.29,-20.13,0.91
-0.32,0.65,0.61,2.95,12.22,16.78
-0.37,0.45,0.78,41.7,-10.97,52.79
-0.4,0.57,0.67,48.97,-37.95,46.75
-0.24,0.55,0.68,19.61,0.5,15.62
-0.22,0.6,0.62,1.6,-10.67,-0.18
-0.19,0.61,0.61,7.89,-25.13,1.59
-0.21,0.58,0.63,-4.93,-36.61,-9.34
-0.22,0.58,0.65,-15.91,-25.5,-16.36
-0.24,0.57,0.66,-37.15,-9.08,-36.19
-0.08,0.63,0.57,-14.69,-9.69,-24.6
-0.06,0.59,0.59,-14.69,37.61,-19.59
-0.27,0.66,0.59,0.93,87.72,0.06
-0.32,0.59,0.67,28.03,14.48,23.13
-0.32,0.55,0.69,35.23,-16.89,29.54
-0.33,0.55,0.69,22.84,-25.38,19.65
-0.3,0.61,0.65,14.36,-19.03,13.55
-0.12,0.47,0.69,-0.17,-78.36,9.76
-0.23,0.63,0.61,-19.21,-21.59,-0.24
0.01,0.81,0.34,-31.17,-14.09,-24.96
-0.2,0.59,0.63,1.73,16.19,4.52
-0.13,0.81,0.66,-13.05,-52.23,39.06
-0.12,0.39,0.52,-29.22,-50.16,14.4
-0.13,0.45,0.54,-14.02,-18.91,-6.1
-0.08,0.54,0.56,-3.16,17.35,-30.64
-0.14,0.64,0.65,-3.16,-2.06,-7.26
-0.09,0.52,0.6,-2.97,-12.68,-8.73
-0.14,0.56,0.63,4.23,-4.75,-4.88
-0.13,0.55,0.61,3.01,-7.43,-3.42
-0.13,0.59,0.63,7.58,-5.97,-2.38
-0.13,0.54,0.6,1.11,-10.36,1.65
-0.13,0.58,0.63,3.98,0.5,-1.47
-0.13,0.57,0.61,2.27,-1.21,-1.04
-0.11,0.59,0.62,2.88,-3.83,-4.27
-0.1,0.57,0.58,2.15,-3.53,-1.53
-0.12,0.6,0.61,1.05,1.05,-0.43
-0.11,0.57,0.59,2.21,-6.95,0.06
-0.13,0.59,0.63,0.32,-6.21,-0.06
-0.12,0.57,0.59,1.3,-3.83,1.53
-0.12,0.57,0.59,2.15,-0.72,-0.12
-0.1,0.59,0.6,2.09,4.1,-1.95
-0.12,0.57,0.61,-0.17,-1.7,-1.59
-0.13,0.59,0.61,0.26,2.76,-2.99
-0.12,0.58,0.6,1.24,-6.46,0.91
-0.12,0.59,0.61,-0.35,-1.57,-1.59
-0.12,0.58,0.61,0.08,-2.61,0.73
-0.11,0.56,0.6,0.99,-4.63,-1.83
-0.13,0.59,0.62,0.5,-0.72,0.06
-0.11,0.58,0.6,1.11,-0.72,-1.83
