accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.28,-0.84,1.37,0.61,-26.36,9.2
0.29,-0.8,1.41,-2.38,-20.01,14.82
0.34,-0.79,1.43,4.82,-18.97,13.66
0.35,-0.84,1.41,1.89,-3.35,2.06
0.32,-0.79,1.41,4.7,3.0,17.68
0.37,-0.82,1.38,-3.84,2.94,-1.24
0.36,-0.8,1.43,4.33,14.35,0.84
0.35,-0.81,1.36,-1.22,0.99,-6.12
0.34,-0.83,1.4,10.07,-2.55,2.73
0.32,-0.78,1.35,14.04,7.89,-1.97
0.34,-0.8,1.36,17.58,-16.71,5.35
0.32,-0.79,1.35,23.13,-4.26,-0.14
0.37,-0.77,1.36,2.26,-22.39,2.0
0.39,-0.76,1.38,-2.81,-18.79,-0.75
0.43,-0.68,1.29,-24.72,6.36,1.45
0.24,-0.68,1.33,-35.22,4.28,43.81
0.49,-0.71,1.45,-41.38,-2.55,102.1
0.29,-0.76,1.35,-16.85,38.34,64.25
0.18,-0.55,0.85,22.34,-25.01,21.83
0.26,-0.78,0.83,40.16,-33.01,-58.55
0.59,-0.76,1.5,11.54,-23.79,-10.7
0.46,-0.73,1.36,4.27,3.49,-2.89
0.46,-0.73,1.38,4.15,-5.05,0.35
0.47,-0.73,1.38,5.86,0.5,-12.59
0.28,-0.24,1.6,-42.66,13.68,-63.31
0.4,-0.96,1.35,-74.34,20.95,-58.12
0.47,-1.01,1.46,-6.53,-11.59,-17.66
0.34,-0.81,1.41,-2.44,-1.15,-0.93
0.37,-0.91,1.43,2.01,-3.16,4.44
0.37,-0.8,1.49,18.98,-20.92,22.81
0.34,-0.76,1.43,-8.12,-8.29,0.35
0.4,-0.89,1.45,3.42,-4.14,3.83
0.35,-0.75,1.43,-0.98,-3.22,4.74
0.4,-0.87,1.44,-2.14,-4.14,-0.99
