accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.54,-0.69,1.4,5.49,21.19,-10.94
-0.59,-0.7,1.4,1.34,2.82,-0.69
-0.58,-0.72,1.41,6.41,-4.99,-0.51
-0.57,-0.73,1.43,2.69,-14.09,1.87
-0.53,-0.71,1.38,2.63,2.88,-6.85
-0.62,-0.72,1.37,4.21,-2.61,-5.69
-0.55,-0.73,1.39,2.75,3.31,-10.88
-0.59,-0.72,1.41,0.8,-1.88,-7.16
-0.59,-0.77,1.36,4.34,-2.49,-20.46
-0.64,-0.47,1.34,-18.31,8.74,-12.96
-0.56,-0.58,1.26,-12.45,10.57,-0.69
-0.58,-0.78,1.49,45.23,-7.13,16.28
-0.54,-0.76,1.44,36.99,-20.01,14.14
-0.54,-0.76,1.43,24.54,-12.74,10.66
-0.56,-0.61,1.3,8.73,-8.47,-0.75
-0.55,-0.66,1.34,8.55,-5.91,-3.86
-0.47,-0.78,1.42,-5.55,-5.66,-0.81
-0.46,-0.65,1.32,-26.12,25.95,-0.26
-0.49,-0.62,1.25,-6.41,40.3,19.33
-0.6,-0.57,1.24,36.32,8.31,43.13
-0.54,-0.58,1.22,32.9,-3.71,25.37
-0.48,-0.74,1.42,41.69,-63.4,8.89
-0.53,-0.64,1.3,9.95,-42.04,-16.01
-0.51,-0.67,1.39,-18.0,-21.72,-29.68
-0.42,-0.71,1.34,-27.04,-5.91,-35.84
-0.48,-0.56,1.18,-28.56,2.45,-26.69
-0.47,-0.65,1.3,-21.85,0.01,-16.56
-0.56,-0.64,1.31,-9.52,29.86,-7.16
-0.63,-0.6,1.37,35.89,-8.04,19.94
-0.54,-0.73,1.42,51.21,-57.91,7.0
-0.54,-0.69,1.38,10.26,-41.86,-25.22
-0.55,-0.64,1.33,-28.93,-29.41,-48.36
-0.41,-0.62,1.19,-16.17,-7.07,-36.33
-0.48,-0.63,1.27,12.39,-7.86,-5.45
-0.51,-0.46,1.09,19.65,31.81,2.36
-0.55,-0.53,1.24,-37.66,-19.03,48.57
-0.5,-0.74,1.27,-18.8,-15.06,49.54
-0.37,-0.74,1.21,-7.2,2.64,22.75
-0.41,-0.73,1.25,10.32,6.24,-2.28
-0.42,-0.65,1.29,4.95,10.57,-5.33
