accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.25,-0.7,1.18,0.89,-0.28,9.25
-0.24,-0.64,1.2,8.76,9.3,4.36
-0.28,-0.63,1.21,4.79,-2.54,6.87
-0.31,-0.7,1.18,2.47,-7.3,1.68
-0.26,-0.67,1.2,3.2,6.31,-1.8
-0.29,-0.63,1.18,0.09,9.24,-1.43
-0.28,-0.62,1.18,6.5,-11.57,7.78
-0.23,-0.64,1.16,11.87,-15.42,12.12
-0.28,-0.62,1.19,1.62,-0.77,11.44
-0.25,-0.65,1.17,9.98,-13.77,15.96
-0.25,-0.66,1.12,13.76,-8.95,4.3
-0.3,-0.61,1.17,-15.29,12.84,-3.2
-0.27,-0.63,1.16,2.04,-37.75,-0.76
-0.35,-0.66,1.23,-4.06,-34.52,-21.15
-0.17,-0.61,1.15,-8.21,-15.11,-16.57
-0.15,-0.58,1.1,-14.8,2.16,-16.02
-0.16,-0.65,1.16,-11.44,14.55,11.14
-0.07,-0.53,1.01,3.63,-19.57,46.42
-0.27,-0.5,1.11,29.88,-16.76,51.54
-0.08,-0.36,0.87,22.92,14.06,37.57
-0.16,-0.54,1.05,34.09,-27.26,26.09
-0.3,-0.53,1.1,27.92,-62.47,-0.34
-0.31,-0.54,1.15,-10.22,-61.01,-31.22
0.1,-0.62,1.06,-61.68,-49.23,-79.68
-0.24,-0.65,1.21,-21.58,-21.34,-33.29
-0.15,-0.6,1.1,-2.04,-6.99,-8.82
-0.15,-0.6,1.12,1.86,13.76,1.19
-0.12,-0.16,1.5,-37.93,4.85,29.75
-0.1,-0.83,1.04,-69.37,12.54,36.1
-0.06,-0.75,1.06,-4.18,28.47,1.92
-0.27,-0.62,1.23,2.53,-2.78,6.01
-0.13,-0.73,1.16,6.99,-11.27,4.85
-0.18,-0.63,1.2,1.62,-1.56,-0.4
-0.15,-0.69,1.18,2.23,-15.29,4.91
-0.15,-0.68,1.17,5.28,-5.16,-2.66
-0.16,-0.66,1.18,1.92,-3.27,3.88
-0.15,-0.68,1.17,1.74,-9.98,1.19
-0.17,-0.66,1.19,2.41,-4.19,2.29
-0.15,-0.67,1.17,0.03,-6.69,1.68
