accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.15,-0.73,1.2,-3.86,-22.53,-1.27
-0.14,-0.7,1.23,-3.74,-18.02,-1.15
-0.12,-0.68,1.22,-2.95,-18.87,-4.63
-0.15,-0.71,1.2,-1.54,-17.53,-1.02
-0.11,-0.7,1.22,-4.41,-12.46,-1.21
-0.18,-0.71,1.24,-5.21,-6.6,-3.89
-0.13,-0.71,1.19,-6.67,-9.66,-5.54
-0.17,-0.7,1.23,-2.7,-14.6,-6.33
-0.18,-0.65,1.18,-7.71,-7.76,-3.53
-0.19,-0.71,1.25,-5.02,-19.24,-10.79
-0.19,-0.69,1.21,-6.61,-33.03,-4.69
-0.18,-0.72,1.25,6.76,-85.77,-1.15
-0.05,-0.67,1.17,-22.17,-26.56,-23.97
-0.04,-0.8,1.28,-22.54,-8.68,-4.93
-0.2,-0.62,1.18,-31.82,22.33,1.84
-0.29,-0.69,1.24,-8.38,14.09,32.42
-0.18,-0.58,1.1,48.38,-5.87,53.36
-0.05,-0.89,1.36,55.59,-28.03,59.95
-0.27,-0.83,1.37,99.53,-44.63,96.14
-0.01,-0.69,1.2,-9.97,-8.74,4.35
-0.05,-0.68,1.18,-15.52,-31.02,-2.86
-0.08,-0.65,1.14,-5.27,-1.97,-13.84
0.04,-0.74,1.18,19.39,-77.65,19.91
-0.02,-0.37,1.71,-44.39,-36.02,22.9
0.12,-0.82,0.77,-92.06,-17.16,18.93
0.19,-0.78,1.04,-26.45,31.6,-34.78
-0.16,-0.7,1.25,14.51,-1.9,-24.16
0.02,-0.8,1.17,1.87,-7.76,-26.05
-0.14,-0.57,1.18,-22.23,-26.93,-17.87
-0.01,-0.71,1.17,-8.62,-54.52,-11.34
-0.38,-0.6,1.23,-14.54,-27.42,-25.74
-0.01,-0.65,1.18,-27.3,-77.77,-87.69
-0.04,-0.71,1.17,-22.36,-37.98,-43.81
-0.04,-0.7,1.19,-4.96,-37.43,-13.35
-0.04,-0.7,1.19,-2.28,-28.7,-11.28
-0.05,-0.7,1.19,1.14,-11.67,0.38
-0.04,-0.67,1.15,-3.74,43.32,2.76
-0.22,-0.78,1.27,-76.56,-44.93,58.12
0.12,-0.95,0.98,-52.08,-16.67,0.38
-0.09,-0.82,1.24,0.23,15.92,-19.4
0.02,-0.71,1.27,-6.55,-16.67,-21.41
-0.09,-0.77,1.25,5.66,-11.12,-15.37
-0.13,-0.72,1.3,-0.08,-11.98,-5.66
-0.08,-0.79,1.25,-3.44,-31.51,-1.76
-0.09,-0.74,1.28,0.29,-12.16,-3.1
-0.11,-0.77,1.25,-5.27,-23.82,-0.96
-0.1,-0.75,1.29,-1.05,-17.47,-0.78
-0.1,-0.75,1.26,-4.59,-20.09,-2.0
-0.11,-0.76,1.26,-2.89,-20.7,-1.33
