accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.11,-0.66,1.18,1.42,-5.18,0.01
0.11,-0.67,1.17,2.64,-4.5,1.85
0.13,-0.66,1.15,4.35,-4.38,1.72
0.12,-0.68,1.15,6.73,-1.51,3.62
0.1,-0.67,1.15,6.3,0.62,1.6
0.08,-0.66,1.18,8.07,2.03,-2.98
0.12,-0.63,1.12,4.96,11.73,-0.6
0.09,-0.69,1.14,7.59,16.25,-2.98
0.07,-0.62,1.17,7.46,1.9,-8.47
0.1,-0.69,1.11,11.25,3.98,-6.58
0.07,-0.65,1.13,4.23,-16.89,-2.85
0.06,-0.73,1.19,-6.27,-4.93,-14.45
0.13,-0.63,1.14,-13.96,2.21,-6.7
-0.07,-0.51,0.95,-14.94,-2.86,18.87
0.16,-0.46,1.0,-9.14,27.42,47.8
-0.09,-0.69,1.14,19.73,-20.86,61.84
-0.01,-0.68,1.18,23.76,-55.84,1.91
0.1,-0.83,1.3,3.5,-35.51,-67.0
0.11,-0.61,1.08,-4.32,-38.62,-36.06
0.12,-0.65,1.13,-12.43,15.39,-1.27
0.06,-0.57,1.09,10.09,65.87,45.24
-0.01,-0.72,1.2,38.65,8.92,78.87
0.24,-0.62,1.06,50.49,-25.01,93.83
0.11,-0.67,1.17,43.47,-15.74,72.95
0.27,-0.69,1.18,25.1,-61.88,44.63
-0.03,-0.49,1.04,-14.45,-36.12,24.0
-0.15,-0.47,0.99,-37.89,-15.8,-53.27
0.71,-0.66,1.13,-65.23,14.9,-213.0
0.05,-0.64,1.09,-4.44,2.94,-57.24
0.16,-0.61,1.12,13.08,-24.89,-19.15
0.12,-0.61,1.1,3.13,1.97,-4.07
0.11,-0.61,1.11,1.91,3.8,-8.71
0.09,-0.62,1.11,0.32,0.32,-10.06
0.1,-0.62,1.11,-1.81,-0.96,-9.81
0.08,-0.62,1.11,0.75,5.26,-1.39
0.06,-0.62,1.12,4.35,-11.46,10.63
0.18,-0.6,1.1,0.32,19.42,10.27
-0.03,-0.55,1.16,-95.63,-37.28,27.85
0.28,-0.96,1.02,-43.62,-25.99,14.48
0.15,-0.68,1.18,11.25,9.35,1.6
0.14,-0.7,1.19,3.19,-12.74,-1.08
0.17,-0.75,1.16,17.84,2.33,-2.61
0.1,-0.6,1.2,9.72,-2.12,-1.08
0.16,-0.73,1.18,5.63,-10.73,4.65
0.16,-0.64,1.18,10.33,0.81,-2.49
0.14,-0.68,1.18,-0.29,-1.21,4.47
0.18,-0.7,1.16,3.07,-2.92,-2.24
