accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.03,-0.65,1.15,19.23,-18.89,26.82
0.07,-0.61,1.17,8.24,8.63,23.77
0.09,-0.62,1.15,3.6,22.24,30.24
0.07,-0.64,1.1,2.08,30.12,26.15
0.04,-0.63,1.15,15.44,23.95,15.96
0.03,-0.65,1.15,5.43,2.77,8.51
0.08,-0.55,1.16,13.92,2.47,9.86
0.04,-0.62,1.14,4.21,-3.27,5.65
0.06,-0.6,1.1,11.84,5.89,6.32
0.02,-0.59,1.14,8.12,11.56,-10.04
0.04,-0.61,1.12,3.97,-0.77,-5.34
0.13,-0.49,1.13,4.46,0.88,-7.97
0.03,-0.58,1.14,-5.43,-7.72,4.49
0.1,-0.6,1.1,-1.34,1.8,-2.9
0.05,-0.61,1.13,-5.86,-6.38,3.39
0.04,-0.6,1.11,1.59,-1.56,1.74
0.03,-0.62,1.11,5.74,-7.3,-5.16
0.01,-0.57,1.12,-0.73,-2.6,-4.61
0.06,-0.61,1.13,2.69,-3.33,-5.16
-0.02,-0.6,1.17,-2.99,-0.34,-6.32
0.08,-0.63,1.08,-10.68,-7.05,-18.04
0.06,-0.62,1.09,-4.52,-4.0,-12.18
0.13,-0.64,1.06,9.1,0.94,-17.79
-0.08,-0.53,1.08,-9.64,-7.72,-12.91
0.14,-0.43,1.0,-23.31,31.58,-11.26
0.14,-0.51,1.03,29.3,12.54,46.72
-0.07,-0.78,1.24,35.71,-28.66,59.66
0.11,-0.58,1.11,34.43,-44.35,50.81
0.04,-0.63,1.16,10.38,-21.34,9.31
0.1,-0.55,1.09,10.19,-33.73,-2.53
0.04,-0.62,1.18,-44.31,-38.36,-67.11
-0.52,-0.76,1.16,-30.03,-54.23,-67.78
0.33,-0.47,1.04,-7.69,-5.77,-53.19
0.14,-0.5,1.05,6.04,53.8,0.95
0.02,-0.63,1.15,27.28,10.83,34.7
0.06,-0.65,1.18,34.61,-30.19,28.11
0.07,-0.57,1.11,29.6,-44.89,13.58
0.11,-0.56,1.09,18.68,-14.74,-8.82
0.16,-0.44,0.87,-94.79,-53.07,17.85
0.19,-0.79,1.07,-49.13,-44.04,33.54
0.29,-0.68,1.0,-10.56,3.26,1.31
0.25,-0.62,1.16,-1.16,-4.86,-7.23
0.22,-0.66,1.12,5.74,7.72,-0.46
0.22,-0.64,1.11,3.72,-3.51,-4.91
0.19,-0.56,1.18,9.77,-0.16,-2.66
0.26,-0.63,1.13,2.2,-5.22,-1.5
0.19,-0.58,1.15,2.99,0.82,-3.21
0.19,-0.63,1.12,0.61,-3.82,2.29
0.22,-0.62,1.13,3.24,-3.09,-0.34
