accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.07,-0.53,1.15,14.53,-21.8,2.58
0.06,-0.52,1.16,15.51,-19.36,3.98
0.09,-0.53,1.16,12.95,-22.35,2.46
0.08,-0.54,1.15,11.24,-18.57,3.19
0.11,-0.54,1.1,18.93,-31.2,8.13
0.07,-0.55,1.13,17.95,-21.8,2.15
0.07,-0.54,1.14,19.91,-24.37,1.66
0.14,-0.59,1.11,28.7,-4.96,3.86
-0.04,-0.49,1.1,11.67,-5.51,2.7
0.05,-0.52,1.15,11.61,-11.24,2.64
-0.41,-0.64,1.23,3.43,-71.79,-45.33
0.04,-0.63,1.24,-11.71,-41.33,-73.47
0.03,-0.51,1.13,17.95,-24.92,2.52
0.46,-0.18,0.85,14.72,53.94,36.39
-0.02,-0.46,1.0,78.56,-57.75,138.44
-0.11,-0.48,1.14,67.76,-79.36,75.09
-0.06,-0.57,1.23,43.77,-108.11,-6.21
0.46,-0.47,1.02,-17.57,0.35,-75.3
-0.01,-0.36,1.07,-111.87,-56.17,-30.14
0.2,-0.91,1.05,-54.8,11.64,-30.68
0.22,-0.68,1.23,-10.25,73.17,-30.75
-0.09,-0.48,1.28,15.69,32.76,-33.31
-0.11,-0.6,1.12,15.02,-7.64,1.79
0.04,-0.63,1.16,17.04,-4.83,-4.68
-0.11,-0.69,1.2,44.2,-16.43,-4.5
-0.21,-0.57,1.14,18.07,-82.17,-10.6
-0.0,-0.51,1.12,16.61,-30.84,-19.09
-0.01,-0.7,1.29,24.06,14.21,35.23
-0.13,-0.78,1.39,23.2,-65.2,11.25
-0.04,-0.5,1.11,19.3,-75.09,-12.92
-0.18,0.04,1.96,-14.27,-38.16,21.74
0.03,-0.85,1.04,-35.39,-44.69,38.1
0.25,-0.8,1.24,17.71,-16.68,19.0
0.02,-0.6,1.29,35.96,-13.14,15.27
0.01,-0.62,1.23,27.47,-13.62,17.04
0.11,-0.58,1.27,28.88,1.33,10.51
-0.04,-0.61,1.26,20.52,-19.61,10.88
0.1,-0.63,1.19,16.67,-17.47,8.93
