accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.08,-0.75,1.24,2.35,0.85,-3.63
0.04,-0.72,1.26,-3.63,2.07,6.07
0.12,-0.75,1.25,-5.28,1.64,7.96
0.06,-0.76,1.24,-2.35,4.94,12.05
0.07,-0.8,1.22,-4.24,4.45,16.69
0.12,-0.77,1.25,3.94,5.49,1.8
0.08,-0.8,1.22,14.74,13.79,0.46
0.08,-0.77,1.15,32.07,13.3,-2.17
-0.25,-0.86,1.32,0.52,-56.34,-21.09
-0.03,-0.92,1.34,-10.16,-93.39,-77.97
0.2,-0.6,1.11,-10.83,-26.13,-30.92
0.2,-0.5,1.02,-18.1,73.24,9.67
0.06,-0.73,1.23,36.84,54.26,92.74
0.19,-0.71,1.19,78.22,-64.58,128.33
0.41,-0.7,1.27,59.85,-56.28,89.08
0.18,-0.7,1.24,-3.14,-44.8,4.42
0.12,-0.64,1.12,-48.74,-9.52,-29.45
0.57,-0.17,1.26,-79.8,44.67,-47.7
-0.09,-0.89,1.31,-101.84,55.84,-29.21
0.63,-1.06,1.12,-38.6,4.03,-88.72
-0.08,-0.76,1.28,-6.32,30.39,-51.73
0.13,-0.74,1.32,-7.42,14.52,-39.52
0.05,-0.82,1.3,7.66,-10.5,-27.62
-0.03,-0.85,1.32,-1.25,1.71,-23.04
0.06,-0.79,1.24,8.94,-12.82,-6.38
0.0,-0.89,1.34,7.78,-13.19,-7.54
-0.06,-0.79,1.42,7.54,14.22,-26.4
-0.05,-0.78,1.25,-4.42,-0.74,-11.99
0.09,-0.69,1.24,-7.11,65.0,-4.85
-0.17,-0.91,1.35,-2.23,7.02,-3.21
-0.03,-0.82,1.3,-4.12,-16.36,-22.98
-0.02,-0.79,1.26,-1.74,17.58,9.49
-0.34,-0.62,1.15,-92.93,-44.01,51.6
0.31,-1.24,1.24,-43.85,11.78,17.36
-0.0,-1.01,1.31,19.32,12.45,6.01
-0.01,-0.76,1.38,18.1,1.89,9.0
0.03,-0.89,1.32,9.86,-5.44,14.56
0.1,-0.84,1.33,18.46,12.27,6.26
-0.04,-0.82,1.34,13.4,8.73,1.68
0.03,-0.83,1.3,10.04,4.09,-4.12
-0.04,-0.81,1.32,5.89,1.1,5.28
0.07,-0.8,1.27,0.52,-2.14,0.88
0.04,-0.79,1.3,3.08,0.12,0.4
0.01,-0.81,1.28,1.37,-3.3,2.29
