accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.1,-0.71,1.23,0.31,-2.29,-1.34
0.14,-0.73,1.22,0.98,6.56,-0.31
0.11,-0.72,1.23,3.54,-13.89,0.18
0.13,-0.72,1.22,5.92,-9.31,-2.69
0.06,-0.73,1.25,5.68,-9.8,-7.08
0.08,-0.76,1.21,6.84,-35.37,-22.28
0.17,-0.74,1.15,18.07,-41.84,-23.56
0.1,-0.65,1.16,-0.73,-30.67,-9.52
0.28,-0.48,1.04,-23.13,100.98,-10.19
0.07,-0.75,1.33,55.3,-51.61,118.28
0.26,-0.66,1.24,42.12,-45.51,81.36
0.02,-0.76,1.38,39.43,-58.63,57.31
0.37,-0.62,1.11,0.86,-17.31,-3.48
0.17,-0.55,1.22,-58.65,2.89,-7.88
0.51,-0.83,1.06,-23.01,3.2,-14.89
0.33,-0.72,1.14,29.11,7.59,-25.27
0.14,-0.65,1.17,4.52,-38.12,-10.74
0.09,-0.76,1.25,-44.07,-58.26,-123.11
0.28,-0.67,1.15,-12.57,-31.96,-52.55
0.33,-0.65,1.15,-2.81,11.56,-2.38
0.29,-0.52,1.16,2.63,19.25,67.26
0.2,-0.8,1.2,11.78,-14.56,54.93
0.22,-0.79,1.19,29.6,-6.44,14.04
0.22,-0.46,1.04,-1.71,-31.65,-22.58
0.34,-0.65,1.14,-5.13,-28.72,-7.08
0.21,-0.55,1.04,11.11,22.85,11.17
0.32,-0.69,1.23,49.87,-4.37,26.61
0.34,-0.67,1.18,22.22,-26.4,-1.59
0.44,-0.62,1.09,-1.83,-0.52,-14.65
0.12,-0.3,1.47,-57.37,-16.27,14.28
0.38,-0.69,1.14,-69.46,-28.17,48.16
0.49,-0.83,1.1,-51.21,-7.18,18.19
0.43,-0.84,1.16,-6.71,15.35,-5.86
0.44,-0.67,1.23,11.41,11.13,-14.83
0.34,-0.74,1.23,8.73,-5.1,-10.38
0.38,-0.75,1.19,20.02,4.79,-9.89
0.3,-0.63,1.22,11.29,3.81,-12.33
