accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.03,-0.85,1.33,-3.21,-4.6,-0.52
-0.03,-0.84,1.34,-3.08,-4.6,-1.37
-0.03,-0.85,1.32,-2.53,-7.1,-1.62
-0.01,-0.86,1.33,-0.22,-4.11,-3.94
-0.04,-0.86,1.34,-1.92,-12.78,-7.42
-0.05,-0.85,1.33,-1.07,-22.6,-12.42
-0.06,-0.86,1.34,-6.26,-44.88,-11.45
0.08,-0.79,1.25,1.92,-69.97,-8.64
0.05,-0.83,1.29,-19.26,27.69,-8.27
-0.24,-0.79,1.43,102.2,-26.26,115.93
0.02,-0.92,1.37,97.14,-66.0,76.02
0.03,-0.72,1.17,25.85,-42.87,1.8
0.18,-0.77,1.16,-43.43,-0.69,-68.21
0.04,-0.6,1.38,-57.1,2.42,39.95
0.1,-0.96,1.15,-53.13,-1.48,18.64
0.23,-0.87,1.27,-15.11,4.01,-15.05
0.11,-0.8,1.23,-14.31,10.91,-14.13
0.14,-0.85,1.31,-8.58,-1.73,-18.04
0.08,-0.85,1.3,-21.58,9.75,-18.83
0.1,-0.86,1.4,-32.99,14.87,-40.19
0.02,-0.87,1.29,-48.25,52.84,-36.59
0.02,-0.89,1.31,-21.33,12.92,-35.98
-0.05,-0.87,1.34,-0.52,11.15,-4.67
-0.05,-0.87,1.39,-1.07,-7.34,-4.43
-0.03,-0.89,1.34,-1.25,1.81,-0.34
-0.04,-0.86,1.4,-1.25,-6.86,-1.13
-0.02,-0.85,1.37,-1.62,-4.11,-2.53
-0.05,-0.85,1.36,-1.99,-1.18,-1.99
-0.01,-0.86,1.37,-6.2,-9.42,-1.13
-0.01,-0.88,1.37,-2.84,-7.83,-3.39
-0.03,-0.87,1.36,-1.44,-4.54,-2.96
-0.01,-0.89,1.37,-0.58,-6.98,-2.05
-0.04,-0.85,1.36,-2.29,0.9,-2.84
-0.03,-0.87,1.36,-5.28,-5.39,-0.89
-0.02,-0.88,1.37,-2.78,-7.34,-2.66
