accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.06,-0.83,1.32,0.26,-1.79,0.47
-0.03,-0.79,1.33,0.81,-1.24,-0.2
-0.04,-0.83,1.32,-1.08,-2.16,1.82
-0.04,-0.81,1.33,-0.11,-1.61,1.94
-0.04,-0.82,1.32,0.14,-3.38,4.32
-0.01,-0.83,1.28,4.65,-8.44,2.85
-0.04,-0.82,1.33,6.79,-8.99,3.22
-0.01,-0.83,1.29,-1.57,3.03,2.18
-0.02,-0.83,1.27,0.32,2.91,3.4
-0.0,-0.83,1.26,16.19,-4.35,7.19
-0.02,-0.81,1.27,25.77,3.95,5.11
-0.03,-0.78,1.27,2.95,-21.93,0.23
-0.08,-0.83,1.35,-2.55,-62.7,-3.74
0.01,-0.73,1.21,-27.27,-63.37,-48.72
0.09,-0.74,1.19,-6.33,5.41,-20.16
0.07,-0.67,1.13,51.9,50.76,41.55
-0.09,-0.92,1.46,45.61,-9.54,37.64
0.0,-0.77,1.25,8.38,-12.29,-3.92
-0.16,-1.04,1.69,-15.3,-82.78,-11.43
-0.12,-0.72,1.23,-40.51,-60.75,-49.94
0.23,-0.73,1.15,-3.52,-18.21,-20.71
-0.0,-0.71,1.15,15.27,84.7,8.1
-0.04,-0.87,1.49,47.62,21.4,30.07
-0.04,-0.82,1.32,6.85,6.88,-0.2
0.0,-0.93,1.49,12.1,-59.59,1.39
-0.07,-0.68,1.18,-44.3,-66.49,-46.83
-0.16,-0.75,1.15,-16.4,-19.98,-43.72
0.09,-0.51,0.92,22.84,73.96,-0.5
-0.16,-0.95,1.55,56.9,-40.12,41.37
-0.0,-0.78,1.25,32.79,-18.88,7.98
-0.31,-0.42,1.44,-137.62,-71.37,7.86
0.09,-1.02,1.24,-93.25,46.61,20.55
0.07,-0.88,1.35,-18.23,41.67,-32.36
-0.15,-0.8,1.31,-9.2,73.28,-21.81
-0.07,-0.84,1.36,-7.31,19.02,-11.73
-0.12,-0.88,1.33,9.17,-6.18,-1.72
-0.11,-0.81,1.37,4.78,3.34,2.43
-0.14,-0.85,1.36,3.86,-5.63,3.1
