accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.02,-0.82,1.34,-0.63,-1.48,2.17
-0.0,-0.81,1.34,-1.05,-2.4,2.05
-0.02,-0.82,1.32,-5.75,-0.32,6.38
0.02,-0.83,1.33,-3.68,-0.45,9.74
0.02,-0.83,1.33,4.26,-2.46,11.14
0.02,-0.8,1.35,5.78,0.16,8.45
0.03,-0.81,1.34,0.84,11.94,4.91
-0.02,-0.83,1.33,2.06,4.5,4.3
0.02,-0.82,1.31,1.33,13.78,4.06
-0.02,-0.84,1.32,17.38,-3.01,9.43
-0.03,-0.71,1.68,9.63,-1.85,3.57
-0.02,-0.8,1.32,4.81,-30.66,7.72
-0.18,-0.87,1.44,-2.64,-64.04,-19.2
0.16,-0.73,1.18,-7.28,3.34,-19.44
0.13,-0.73,1.16,41.85,42.71,41.84
-0.03,-0.81,1.41,39.96,-23.52,40.92
0.04,-0.81,1.33,5.72,-21.38,-17.06
0.03,-0.88,1.2,-46.65,11.4,-11.02
0.11,-0.9,1.23,-6.0,7.49,-4.12
-0.07,-0.48,1.5,27.39,9.38,-3.94
-0.06,-0.79,1.32,-9.54,-29.74,-1.31
-0.01,-0.77,1.28,-29.5,-62.64,-54.23
0.02,-0.76,1.17,-36.88,-8.87,-82.79
0.17,-0.6,1.05,3.95,75.36,-25.79
-0.06,-0.83,1.36,53.21,-8.69,44.59
-0.06,-0.78,1.3,39.84,-47.44,30.0
0.01,-0.74,1.23,27.63,-15.52,9.49
-0.27,-0.45,1.47,-116.41,-29.8,-7.6
0.2,-1.09,1.32,-64.59,15.73,10.47
0.02,-0.86,1.33,-6.24,19.51,-30.55
-0.16,-0.74,1.36,-3.25,48.63,-12.66
-0.01,-0.81,1.28,-18.33,20.61,-9.06
-0.07,-0.84,1.36,-1.72,8.95,0.89
-0.04,-0.87,1.33,-0.56,8.1,1.98
-0.07,-0.81,1.4,3.1,7.0,6.62
-0.05,-0.8,1.33,1.39,14.26,5.89
