accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.0,-0.82,1.34,2.12,2.53,-3.57
0.0,-0.82,1.35,2.92,3.14,-3.76
0.01,-0.82,1.34,1.45,0.95,-2.9
0.0,-0.82,1.34,2.24,2.96,-2.29
0.03,-0.83,1.33,7.37,2.59,0.94
0.02,-0.81,1.31,11.22,12.3,5.52
0.04,-0.83,1.32,15.61,7.48,5.7
-0.01,-0.79,1.33,5.42,13.95,-6.5
0.0,-0.84,1.28,7.43,13.58,-8.09
-0.0,-0.75,1.27,0.78,-3.88,-12.3
0.0,-0.8,1.31,4.38,-21.94,-6.93
0.01,-0.8,1.31,4.62,1.74,-7.72
0.1,-0.86,1.41,-14.36,-8.09,-2.6
0.04,-0.8,1.4,-13.75,3.14,11.69
0.02,-0.73,1.25,16.95,-30.0,64.12
-0.02,-0.71,1.16,68.65,-1.92,82.79
-0.05,-0.75,1.23,53.57,-8.64,8.21
-0.05,-0.76,1.3,15.12,-45.62,-62.29
0.24,-0.85,1.31,-18.02,-22.61,-81.7
0.19,-0.78,1.29,-35.29,-17.24,-71.14
0.12,-0.79,1.31,-32.91,0.34,-19.38
0.27,-0.66,1.19,-42.01,51.24,20.9
-0.21,-0.76,1.22,-2.09,10.04,49.95
0.04,-0.22,2.25,-4.53,28.05,29.87
0.1,-1.02,1.34,-46.71,21.88,-9.8
0.21,-1.05,1.4,-5.2,-2.72,-22.86
-0.0,-0.8,1.42,13.05,12.79,-15.41
0.03,-0.86,1.4,1.57,4.61,-13.95
0.06,-0.85,1.38,9.08,9.86,-12.24
0.02,-0.83,1.38,7.43,4.18,-7.54
0.0,-0.85,1.37,4.69,1.19,-2.54
0.01,-0.85,1.38,5.85,1.56,-4.85
0.0,-0.84,1.36,3.16,1.19,-3.94
0.01,-0.85,1.37,3.53,2.41,-4.0
