accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.02,-0.84,1.35,1.85,-2.37,-0.76
-0.01,-0.83,1.35,0.57,-3.28,-0.7
0.01,-0.82,1.34,-1.08,0.26,4.91
-0.01,-0.86,1.34,2.46,-0.29,4.67
-0.0,-0.84,1.34,8.19,0.93,7.23
0.03,-0.86,1.32,19.73,3.37,1.86
-0.1,-0.81,1.32,-1.69,-6.95,1.56
-0.02,-0.83,1.35,1.11,-28.92,0.88
-0.06,-0.84,1.35,-14.33,-31.85,-31.28
0.08,-0.77,1.25,-2.24,-25.56,-15.84
0.23,-0.57,0.9,35.17,45.36,21.64
-0.18,-0.93,1.53,90.23,-18.73,92.38
0.12,-0.8,1.3,43.11,-25.93,26.88
0.0,-0.81,1.36,-9.93,-0.35,-27.31
0.02,-0.84,1.26,-66.88,17.1,-28.17
0.21,-0.91,1.13,-22.02,12.28,-38.12
-0.12,-0.83,1.33,-12.8,-19.76,-2.41
-0.18,-1.0,1.54,-36.24,-56.75,-36.77
0.03,-0.66,1.11,-28.49,-57.42,-58.56
-0.04,-0.72,1.18,-11.64,-17.99,-58.81
0.07,-0.66,1.14,44.94,55.68,5.22
0.19,-0.89,1.39,82.54,-12.44,81.27
0.14,-0.87,1.39,29.92,17.53,51.05
-0.03,-0.91,1.49,-9.26,-62.0,24.63
-0.04,-0.72,1.15,-25.44,-1.33,-5.22
0.15,-0.09,1.46,-59.98,6.36,6.5
0.03,-0.98,1.39,-76.52,4.28,8.88
0.19,-1.07,1.42,-32.21,4.89,-34.27
0.01,-0.79,1.41,1.66,31.44,-24.38
-0.04,-0.9,1.47,-18.17,-3.1,-24.63
0.01,-0.89,1.39,8.99,19.42,-9.74
-0.05,-0.82,1.42,7.71,-0.29,-6.26
-0.03,-0.87,1.41,3.68,-1.58,-1.37
-0.03,-0.88,1.4,5.51,-3.71,-0.76
-0.03,-0.86,1.4,5.26,-4.02,1.07
-0.03,-0.87,1.39,2.15,-3.53,-2.11
-0.04,-0.87,1.39,3.19,-3.77,-1.07
