accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.11,-0.81,1.3,0.53,-6.7,1.8
0.11,-0.8,1.3,-0.2,0.68,0.4
0.11,-0.8,1.34,9.32,-7.86,2.78
0.11,-0.8,1.3,11.15,-4.63,2.65
0.13,-0.82,1.28,13.84,-3.47,1.8
0.13,-0.78,1.25,12.44,-2.49,-2.84
0.1,-0.78,1.27,14.94,-0.17,-3.63
0.05,-0.76,1.39,1.51,-19.58,-9.37
0.2,-0.76,1.27,-12.71,-1.33,-4.61
0.42,-0.67,1.17,-24.12,47.8,27.56
-0.1,-0.71,1.17,12.62,4.89,73.7
0.07,-0.87,1.4,29.28,-55.71,4.61
0.19,-0.86,1.37,-12.22,-93.8,-80.23
0.2,-0.72,1.16,-10.27,-13.72,-25.54
0.16,-0.76,1.26,-3.31,-3.53,-0.89
0.15,-0.76,1.25,-5.32,8.92,-3.08
0.14,-0.73,1.19,15.0,47.5,28.47
0.35,-0.64,0.93,43.93,-14.15,78.28
0.24,-0.8,1.33,41.49,-42.35,50.14
0.27,-0.72,1.18,17.87,-5.6,21.27
0.26,-0.7,1.17,15.73,-2.98,19.38
-0.05,-0.7,1.32,11.34,-43.2,-14.5
0.53,-0.71,0.99,-61.54,-41.49,-146.7
0.28,-0.7,1.16,9.45,-32.7,-12.73
0.22,-0.71,1.17,1.76,0.01,2.23
0.24,-0.7,1.14,4.32,7.89,7.17
-0.06,-0.38,1.17,-173.23,-18.05,1.8
0.39,-1.11,1.36,-136.25,68.8,-36.9
0.24,-0.88,1.25,-80.15,162.98,-105.74
-0.08,-0.83,1.26,-18.57,79.97,-43.98
-0.02,-0.88,1.32,11.15,-12.93,4.85
-0.04,-0.9,1.39,19.82,-16.65,16.63
-0.07,-0.88,1.36,24.28,-35.69,21.15
-0.03,-0.89,1.38,8.84,-19.7,9.06
-0.03,-0.9,1.38,6.58,-5.24,8.09
-0.04,-0.86,1.36,2.43,-11.4,2.96
