accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.12,-0.79,1.31,0.23,-1.45,0.08
0.13,-0.8,1.33,-0.08,-0.05,2.58
0.17,-0.82,1.29,-3.68,-3.41,3.8
0.14,-0.8,1.32,-0.81,0.68,2.64
0.12,-0.83,1.32,-2.33,3.25,4.29
0.13,-0.8,1.33,2.85,-0.42,3.07
0.13,-0.81,1.32,2.79,3.86,6.24
0.13,-0.8,1.32,6.03,2.51,4.41
0.14,-0.82,1.3,14.57,2.64,7.95
0.14,-0.69,1.22,-3.19,-13.17,-10.18
0.09,-0.82,1.32,0.35,-25.32,2.94
-0.04,-0.8,1.28,-0.32,-40.09,-37.64
0.26,-0.5,0.98,2.43,37.0,-19.94
0.48,-0.73,1.22,44.24,8.25,74.23
-0.0,-0.89,1.41,22.32,8.19,60.2
-0.06,-0.91,1.52,-1.78,-42.04,0.75
0.05,-0.78,1.24,-64.16,-139.88,-161.79
0.35,-0.61,1.08,-3.43,-83.42,-45.64
0.16,-0.78,1.3,-6.67,-5.05,-3.65
0.17,-0.79,1.31,-3.74,11.24,-5.23
0.21,-0.77,1.26,-17.59,39.87,-7.07
-0.16,-0.67,1.12,54.73,-57.73,37.86
0.5,-0.05,2.17,-84.37,49.21,-91.78
0.25,-0.93,1.04,-60.32,18.87,30.23
0.14,-0.91,1.43,15.37,10.88,28.88
0.02,-0.83,1.34,5.42,-9.63,2.7
0.13,-0.88,1.36,3.95,-0.78,10.76
0.11,-0.82,1.38,1.76,16.31,-1.63
0.09,-0.82,1.37,-0.56,6.05,0.32
0.12,-0.85,1.35,0.29,-0.11,1.36
