accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.11,-0.79,1.3,0.08,-1.68,-0.26
0.11,-0.79,1.3,0.81,-1.38,-0.81
0.11,-0.79,1.3,-0.35,-2.96,-0.32
0.11,-0.79,1.3,-1.82,-4.12,-1.05
0.12,-0.8,1.3,1.72,-5.4,0.53
0.11,-0.8,1.28,2.46,2.1,-1.42
0.18,-0.73,1.4,8.68,-2.35,-1.66
0.07,-0.78,1.29,5.88,2.1,-4.72
0.1,-0.81,1.25,5.02,1.55,-5.14
0.07,-0.83,1.25,27.97,-3.09,-8.68
0.17,-0.64,1.17,3.31,-11.39,-9.23
0.07,-0.8,1.29,2.34,-12.18,-8.8
0.23,-0.76,1.27,-14.33,4.97,-5.69
-0.25,-0.76,1.24,-12.19,28.59,54.24
-0.1,-0.71,1.14,20.28,8.94,61.39
0.14,-0.82,1.41,28.34,-4.49,-6.42
0.48,-0.79,1.39,18.63,-0.03,-23.94
0.15,-0.73,1.22,11.55,5.76,15.85
-0.05,-0.8,1.37,33.83,14.86,80.18
0.58,-0.87,1.35,16.8,-24.94,59.01
0.17,-0.53,0.97,-28.3,2.41,-8.5
0.01,-0.36,1.37,-69.5,13.21,5.66
0.33,-0.88,1.25,-60.96,1.25,-18.51
0.16,-0.95,1.32,-15.73,-16.09,-34.2
0.19,-0.76,1.26,-3.1,-7.97,-27.12
0.17,-0.83,1.34,-9.87,-16.88,-20.22
0.23,-0.81,1.32,9.6,-1.74,-15.34
0.14,-0.76,1.32,0.93,-5.77,-13.38
0.17,-0.81,1.3,8.62,-12.06,-5.02
0.16,-0.78,1.29,3.56,-2.66,-1.72
0.17,-0.79,1.29,0.63,-4.43,-1.36
0.17,-0.79,1.29,2.03,-2.11,-0.5
0.17,-0.79,1.29,0.32,-1.13,0.11
