accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.07,-0.8,1.33,1.71,-2.17,-0.69
0.08,-0.82,1.32,0.67,-3.7,-1.05
0.06,-0.82,1.33,0.06,-2.29,-0.81
0.07,-0.82,1.33,-3.72,1.43,-0.44
0.06,-0.81,1.34,-2.14,4.36,-1.85
0.05,-0.83,1.33,-1.65,1.31,-1.85
0.06,-0.83,1.33,0.55,0.64,-1.66
0.05,-0.83,1.32,-0.37,3.69,-3.68
0.01,-0.83,1.36,-5.86,5.4,-8.5
-0.01,-0.81,1.42,-12.33,15.59,-19.3
0.01,-0.91,1.35,-30.82,43.12,-39.2
-0.06,-0.88,1.34,-1.89,26.27,-36.39
-0.07,-0.83,1.28,9.4,17.67,-21.62
-0.12,-0.71,1.34,4.7,-25.42,-8.99
0.0,-0.74,1.21,1.4,0.64,21.9
0.24,-0.44,1.02,52.67,1.86,100.51
-0.1,-0.88,1.35,44.25,-38.24,74.08
-0.03,-0.88,1.4,29.24,-49.17,24.09
0.01,-0.81,1.4,3.79,-54.78,-73.01
0.18,-0.57,1.44,-34.67,-1.68,-39.93
0.09,-0.86,1.19,-68.79,1.67,13.84
0.1,-0.95,1.34,-23.01,4.79,24.7
0.08,-0.84,1.27,2.93,13.76,24.7
-0.01,-0.84,1.35,4.03,-5.59,10.6
0.07,-0.83,1.33,3.3,-1.01,12.92
0.07,-0.84,1.33,8.73,-0.64,13.72
0.08,-0.91,1.29,17.46,2.41,7.06
-0.04,-0.76,1.26,1.71,-29.21,-6.18
-0.05,-0.8,1.35,9.71,-65.1,-15.58
0.18,-0.69,1.24,14.1,-90.31,-105.3
0.26,-0.81,1.33,13.43,-54.42,-42.98
0.12,-0.79,1.31,3.48,-23.78,-4.96
0.11,-0.8,1.31,-0.73,20.11,-1.48
0.21,-0.59,1.11,-8.36,68.08,17.38
0.02,-0.92,1.34,-38.88,15.04,55.83
0.16,-0.96,1.27,-18.74,27.43,18.97
0.01,-0.78,1.38,2.2,41.65,1.33
0.06,-0.86,1.34,-1.83,6.25,3.04
0.05,-0.85,1.37,9.1,1.98,-0.32
0.03,-0.83,1.35,3.85,-2.11,-3.49
0.07,-0.83,1.36,4.88,-1.68,-2.88
