accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.09,-0.81,1.3,-1.17,-2.4,-0.0
0.11,-0.8,1.33,-1.48,-3.74,-0.73
0.13,-0.77,1.32,-5.75,-9.11,2.93
0.13,-0.81,1.31,-2.94,-11.31,8.61
0.11,-0.85,1.33,6.27,-1.48,6.59
0.13,-0.82,1.3,11.7,-1.36,2.32
0.12,-0.8,1.28,18.42,-1.91,4.39
0.14,-0.83,1.28,24.28,-5.27,-0.49
0.04,-0.82,1.34,0.6,-44.88,1.4
0.1,-0.75,1.22,-9.6,-62.21,-39.31
0.32,-0.69,1.18,-3.49,-12.35,-20.81
0.05,-0.83,1.36,41.92,12.0,69.64
0.08,-0.81,1.32,22.45,-11.07,23.38
0.0,-0.75,1.25,17.99,-44.76,-7.87
0.05,-0.91,1.41,-24.12,-44.7,-73.0
0.2,-0.75,1.2,-26.81,-23.88,-44.68
0.18,-0.72,1.2,-1.42,-12.1,-5.56
0.16,-0.77,1.26,-10.82,9.75,-5.25
0.26,-0.58,1.0,24.83,37.27,41.08
-0.01,-0.86,1.4,36.18,-32.8,33.57
-0.06,-0.85,1.42,17.38,-46.35,-44.74
0.23,-0.18,1.37,-62.52,48.38,-58.29
0.23,-0.88,1.31,-65.75,-4.84,26.79
0.13,-0.93,1.29,-16.8,24.52,5.98
0.05,-0.74,1.35,-11.86,13.84,-10.32
0.08,-0.85,1.33,-18.88,4.44,-9.64
0.16,-0.83,1.31,-6.91,9.2,-9.95
0.02,-0.82,1.35,-0.93,2.36,2.38
0.07,-0.85,1.34,2.55,-4.84,0.06
0.07,-0.8,1.34,2.67,-6.49,0.43
0.06,-0.83,1.34,1.21,-7.4,2.14
0.09,-0.81,1.34,-0.93,-0.39,5.49
0.03,-0.86,1.34,1.27,-12.04,2.81
