accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.13,-0.85,1.34,1.76,-23.16,13.4
0.13,-0.83,1.34,0.41,-21.57,12.92
0.14,-0.83,1.35,-2.64,-19.68,12.73
0.13,-0.86,1.36,-0.44,-19.87,14.44
0.07,-0.86,1.4,2.73,-21.09,16.15
0.11,-0.85,1.35,4.5,-26.76,16.21
0.14,-0.84,1.34,2.85,-24.08,14.81
0.13,-0.84,1.33,1.51,-18.65,14.2
0.12,-0.86,1.35,0.17,-16.02,14.26
0.14,-0.84,1.34,2.24,-16.51,15.54
0.12,-0.86,1.37,0.11,-35.61,14.81
0.16,-0.84,1.34,-3.92,-26.09,7.42
0.17,-0.54,0.99,-12.65,37.69,5.16
0.03,-0.84,1.35,53.39,-58.38,66.63
0.16,-0.95,1.53,26.17,-51.24,26.59
0.18,-0.82,1.32,12.56,-46.11,10.96
-0.09,-0.97,1.54,-28.09,-53.92,-85.6
0.16,-0.62,1.05,-13.56,-30.36,-53.31
0.11,-0.82,1.3,3.77,-48.25,17.74
0.1,-0.83,1.33,1.45,-21.45,8.4
0.11,-0.83,1.31,-0.01,-16.63,8.52
0.08,-0.83,1.31,-12.89,34.39,21.28
0.0,-1.13,1.15,-98.34,-4.55,4.68
0.24,-1.15,1.33,-18.75,-6.07,12.06
-0.04,-0.82,1.38,19.03,0.03,11.21
0.0,-0.86,1.38,-4.84,-29.02,20.36
0.05,-0.93,1.38,-2.52,-31.46,21.64
0.06,-0.88,1.41,6.7,-25.79,14.26
