accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.08,-0.82,1.29,0.55,-3.07,-0.29
0.1,-0.8,1.32,0.73,-2.58,-1.15
0.11,-0.82,1.31,-1.95,-2.46,0.26
0.08,-0.81,1.32,-1.71,2.48,0.26
0.08,-0.83,1.32,4.88,-11.61,7.7
0.09,-0.82,1.31,3.6,0.71,2.94
0.08,-0.83,1.3,6.17,7.18,4.96
0.08,-0.82,1.3,2.02,5.72,1.91
0.05,-0.85,1.29,7.45,12.43,3.92
0.05,-0.9,1.3,14.96,-3.31,-6.82
0.05,-0.8,1.27,2.63,-40.85,-2.85
0.2,-0.78,1.23,-6.53,9.56,-12.38
-0.03,-0.72,1.16,65.98,-19.98,80.46
0.09,-0.94,1.46,39.61,-20.53,35.23
-0.04,-0.81,1.33,23.26,-76.86,-14.82
0.35,-0.82,1.3,-54.81,-78.08,-129.14
0.17,-0.66,1.13,1.83,-9.23,-9.81
0.12,-0.79,1.26,-9.15,21.77,-2.98
0.07,-0.58,1.04,28.5,61.32,22.05
0.14,-0.78,1.23,38.58,-27.06,33.58
-0.0,-0.88,1.38,24.42,-56.41,-34.96
0.22,-0.74,1.31,-48.46,-33.28,-148.48
0.07,-0.66,1.09,-5.25,12.86,-36.36
-0.04,-0.8,1.25,0.49,8.83,-7.19
-0.03,-0.8,1.25,2.87,-3.74,1.23
0.04,-0.78,1.27,-17.94,75.91,-2.85
-0.15,-1.08,1.1,-87.65,36.48,-7.86
0.02,-0.92,1.32,-31.49,37.82,-24.77
-0.19,-0.81,1.29,-2.26,29.34,-3.89
-0.19,-0.91,1.32,-15.38,-3.13,13.2
-0.06,-0.94,1.34,7.33,-4.53,3.19
-0.16,-0.85,1.33,3.72,4.86,4.23
