accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.66,-0.78,1.19,-7.73,-29.48,30.61
-0.64,-0.75,1.22,-10.17,-31.62,41.66
-0.62,-0.77,1.19,-5.23,-25.27,33.3
-0.66,-0.74,1.18,-9.32,-20.14,24.57
-0.68,-0.74,1.16,-22.19,-20.69,12.73
-0.72,-0.78,1.18,-21.1,-34.0,-2.9
-0.64,-0.76,1.16,-15.6,-41.2,-10.41
-0.64,-0.61,1.54,4.6,-87.65,12.97
-0.14,-0.37,0.74,-31.65,-5.13,15.47
-0.43,-0.82,0.99,89.13,-62.5,249.36
-0.7,-0.75,1.26,26.63,-33.39,130.16
-0.61,-0.9,1.3,-106.61,-52.98,-21.45
-0.47,-0.67,1.07,-84.57,-40.34,-40.62
-0.47,-0.79,0.98,-62.9,-25.09,-9.98
-0.52,-0.85,1.21,-10.96,-21.24,16.82
-0.61,0.13,2.32,6.98,-16.72,0.83
-0.54,-0.76,1.19,-12.67,-70.56,35.49
-0.72,-0.39,0.79,-4.56,100.46,-9.67
-0.61,-1.27,1.9,113.0,-90.76,111.6
-0.45,-0.84,1.32,8.2,-60.67,26.46
-0.45,-0.72,1.11,-6.87,-33.69,23.16
-0.6,-0.69,1.08,-17.01,2.93,33.6
-0.58,-0.73,0.93,-130.23,3.05,37.51
-0.44,-0.97,1.13,-62.42,-14.04,34.15
-0.56,-0.73,1.18,-21.65,11.47,26.52
-0.59,-0.76,1.21,-24.33,-20.51,29.21
-0.49,-0.81,1.2,-13.34,-18.74,26.15
-0.62,-0.77,1.22,-12.31,-21.36,29.82
-0.57,-0.77,1.23,-15.36,-20.39,35.62
-0.58,-0.76,1.2,-9.93,-20.08,36.71
