accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.07,-0.8,1.39,-15.82,31.43,-29.76
-0.07,-0.79,1.39,-13.74,30.27,-28.17
-0.04,-0.79,1.41,-17.65,37.96,-32.38
-0.1,-0.83,1.39,-19.97,45.71,-34.94
-0.07,-0.79,1.37,-13.19,36.99,-33.3
-0.07,-0.87,1.31,-1.29,42.48,-44.4
-0.02,-0.54,1.16,-24.3,79.77,-12.79
-0.29,-0.85,1.5,33.5,-69.82,-18.95
0.15,-0.84,1.37,-55.67,-29.91,-138.4
0.27,-0.35,0.91,-47.55,43.58,-75.65
0.03,-0.5,1.08,23.67,44.13,38.97
-0.11,-0.79,1.43,83.85,62.44,99.94
0.11,-0.81,1.36,67.37,34.85,65.15
0.05,-0.76,1.38,25.63,4.7,15.11
0.02,-0.77,1.37,-7.82,-38.64,-15.96
-0.51,-0.7,1.68,-13.37,-99.37,-39.28
0.56,-0.45,0.77,-143.14,-80.75,-242.04
0.33,-0.67,1.09,-7.45,-36.56,-68.57
0.1,-0.7,1.23,-18.07,2.26,-34.58
0.03,-0.72,1.27,-18.5,42.11,-41.05
0.01,-0.72,1.26,-16.91,36.74,-40.68
0.02,-0.71,1.26,-16.3,35.03,-32.93
0.01,-0.72,1.27,-19.05,43.46,-32.08
-0.01,-0.72,1.27,-16.49,51.09,-25.18
-0.0,-0.72,1.28,-16.91,50.9,-30.0
-0.02,-0.72,1.28,-17.83,35.03,-30.61
-0.02,-0.72,1.29,-15.57,31.37,-27.5
0.01,-0.71,1.26,-43.71,152.89,-23.65
-0.26,-0.84,1.27,-103.77,98.69,-12.91
0.03,-0.95,1.38,-41.63,42.17,-24.08
-0.05,-0.79,1.35,-10.38,56.27,-37.32
-0.16,-0.74,1.39,-21.86,56.34,-28.23
-0.07,-0.82,1.39,-18.2,35.22,-30.43
-0.13,-0.79,1.4,-13.19,47.12,-30.18
-0.14,-0.8,1.39,-18.56,37.54,-26.89
-0.11,-0.82,1.38,-14.72,28.44,-29.39
