accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.22,-0.74,1.27,2.54,-19.54,0.59
0.23,-0.71,1.3,18.16,-56.47,26.29
0.3,-0.72,1.27,6.14,-26.99,20.43
0.31,-0.73,1.27,12.67,-1.72,9.75
0.27,-0.68,1.28,18.59,-6.18,1.2
0.28,-0.72,1.23,14.13,0.9,-6.24
0.23,-0.68,1.22,14.93,-3.12,-4.9
0.3,-0.71,1.2,22.43,0.97,-9.97
0.15,-0.64,1.14,5.16,-25.77,-3.74
0.25,-0.68,1.22,8.7,-32.42,-9.84
-0.51,-0.76,1.16,18.47,-86.74,-31.69
0.55,-0.6,1.26,12.36,-55.67,-65.02
0.33,-0.67,1.21,6.99,-32.05,-4.96
0.38,-0.47,1.0,-12.66,32.52,2.67
0.32,-0.72,1.3,30.43,23.43,82.62
-0.06,-0.7,1.2,40.19,-22.41,83.85
0.09,-0.78,1.42,22.86,-28.21,29.46
0.37,-0.62,1.13,5.71,-21.8,-9.23
0.31,-0.63,1.15,10.71,-80.03,5.41
0.22,-0.55,1.12,-9.61,-87.54,-130.27
0.83,-0.65,1.2,13.03,-72.58,-43.11
0.29,-0.62,1.11,5.28,-20.4,-9.78
0.35,-0.62,1.13,7.17,-16.31,3.83
0.36,-0.61,1.11,7.72,-25.16,-2.52
0.42,-0.6,1.09,-9.0,12.68,-5.02
-0.01,-1.15,0.61,-175.81,0.6,4.44
0.56,-1.06,1.16,-44.77,-35.96,20.98
0.46,-0.79,1.22,38.24,-1.9,-11.55
0.18,-0.64,1.28,11.75,8.9,-3.07
0.44,-0.75,1.27,9.49,-23.81,-9.54
0.31,-0.71,1.27,8.94,-0.32,-7.46
0.37,-0.66,1.27,6.56,-12.64,1.14
0.35,-0.75,1.25,17.61,-24.3,5.66
0.38,-0.64,1.26,18.16,-15.64,0.84
0.31,-0.67,1.25,5.16,-18.2,-0.44
0.37,-0.7,1.26,6.32,-15.51,-1.36
0.33,-0.69,1.24,5.47,-18.26,-4.66
