accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.78,-0.68,1.78,-20.42,-12.33,-19.96
-0.89,-0.74,1.87,-29.08,-4.58,-24.6
-0.78,-0.66,1.83,-31.71,14.28,-0.55
-0.78,-0.66,1.83,-18.52,53.34,16.54
-0.89,-0.63,1.88,59.3,-26.07,13.55
-1.05,-0.52,1.99,43.43,-89.54,-36.01
-0.76,-0.7,1.83,-12.11,-22.22,-59.45
-0.57,-0.82,1.71,2.23,4.21,-19.1
-0.78,-0.64,1.59,41.11,23.68,20.14
-0.88,-0.66,1.97,32.99,-23.5,19.53
-0.84,-0.63,1.87,-3.51,-36.08,20.08
-0.87,-0.59,1.79,-62.65,-5.25,-3.66
-0.8,-0.62,1.68,-41.11,13.67,-1.89
-0.79,-0.67,1.82,-29.39,24.29,16.72
-0.69,-0.67,1.67,1.25,24.35,33.75
-1.06,-0.77,2.2,63.02,-7.08,32.04
-0.4,-0.33,2.17,15.05,-84.54,36.87
-0.92,-0.74,1.69,-10.41,-81.61,21.97
-0.84,-0.95,1.45,3.21,4.7,-19.41
-0.65,-0.66,1.63,1.01,73.91,-42.72
-0.73,-0.54,2.05,-1.43,36.07,-12.51
-0.77,-0.65,1.82,12.91,-30.52,22.34
