accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.7,-0.62,1.5,4.41,-12.04,1.3
-0.72,-0.62,1.47,5.69,-16.32,2.95
-0.67,-0.59,1.46,-10.73,-9.85,-17.81
-0.72,-0.61,1.46,3.43,-1.61,-14.21
-0.72,-0.55,1.54,8.81,-28.64,-3.46
-0.72,-0.59,1.4,-0.35,-46.47,-3.28
-0.77,-0.63,1.39,-2.0,-18.45,-0.35
-0.73,-0.56,1.48,1.18,1.02,-5.42
-0.74,-0.6,1.42,5.08,2.79,-9.93
-0.72,-0.55,1.47,5.14,-3.01,-14.27
-0.76,-0.57,1.48,3.31,-16.56,-12.07
-0.75,-0.55,1.46,-0.17,-15.64,-12.5
-0.77,-0.56,1.44,-1.08,-12.29,-10.12
-0.77,-0.57,1.42,-1.45,-1.48,-22.38
-0.75,-0.51,1.52,2.52,-19.73,-5.97
-0.78,-0.53,1.43,1.73,-9.97,-0.29
-0.78,-0.53,1.41,1.36,-12.65,9.48
-0.76,-0.53,1.39,12.47,-8.38,15.7
-0.8,-0.51,1.42,21.38,-2.09,5.14
-0.78,-0.55,1.48,16.01,18.17,-21.47
-0.78,-0.57,1.52,-5.23,-0.14,-20.98
-0.74,-0.57,1.39,-17.01,-31.57,1.48
-0.77,-0.48,1.29,-13.29,-18.45,12.83
-0.79,-0.54,1.41,-6.15,4.13,1.72
-0.81,-0.5,1.41,28.52,28.61,-16.1
-0.8,-0.53,1.47,25.35,32.64,-18.48
-0.74,-0.5,1.61,24.86,-3.38,-10.85
-0.81,-0.43,1.47,28.89,-140.89,145.65
-0.67,-0.8,1.21,20.65,-102.8,107.86
-0.65,-0.8,1.13,-18.11,-45.43,31.45
-0.51,-0.66,1.28,-37.58,-12.84,5.87
-0.56,-0.66,1.27,-40.27,-2.22,7.95
-0.63,-0.76,1.17,-30.44,-12.59,-11.46
-0.6,-0.75,1.18,-10.3,33.49,-30.26
-0.59,-0.62,1.32,-1.39,40.08,-29.95
-0.59,-0.57,1.44,2.4,20.79,-13.78
-0.64,-0.64,1.37,4.59,2.61,-0.23
-0.62,-0.64,1.36,1.97,1.26,-2.73
-0.62,-0.62,1.39,1.36,1.51,-1.82
-0.63,-0.64,1.39,2.7,-1.79,2.52
-0.63,-0.63,1.36,3.74,-1.85,1.72
-0.63,-0.65,1.38,5.02,-1.48,1.72
-0.63,-0.64,1.37,3.01,-0.81,0.69
-0.62,-0.63,1.37,4.11,0.1,-0.17
-0.63,-0.64,1.38,2.76,-3.01,1.3
-0.63,-0.64,1.38,2.64,-2.16,0.32
-0.63,-0.64,1.38,2.46,-2.52,0.69
-0.63,-0.63,1.37,2.82,-2.64,0.5
-0.63,-0.63,1.38,1.91,-2.16,-0.72
