accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.98,-0.61,1.87,1.97,-42.9,-5.93
-0.98,-0.63,1.84,0.99,-43.81,-4.03
-0.96,-0.64,1.82,0.99,-37.28,-8.73
-0.96,-0.62,1.85,-2.98,-27.15,-14.04
-0.97,-0.62,1.85,-4.99,-24.28,-15.02
-0.97,-0.61,1.85,-4.32,-29.53,-10.93
-0.98,-0.63,1.87,-4.2,-34.9,-8.55
-0.94,-0.6,1.74,-12.25,-42.9,-14.41
-0.98,-0.61,1.89,-6.03,-33.31,-12.64
-1.01,-0.66,1.92,-15.86,-41.25,-9.71
-0.97,-0.73,1.86,-8.41,-14.51,-29.67
-0.99,-0.54,1.9,-14.33,-18.73,-22.16
-0.98,-0.61,1.84,-2.06,-34.72,-8.49
-1.06,-0.51,1.78,-13.72,-9.63,-14.11
-1.02,-0.59,1.84,17.47,1.11,-22.22
-1.07,-0.65,1.95,23.02,-10.12,-18.07
-1.02,-0.66,1.93,-1.27,-28.8,-12.03
-1.05,-0.6,1.86,8.25,-61.94,-8.86
-1.07,-0.57,1.85,-37.71,-45.76,-12.58
-1.09,-0.59,1.9,-31.79,-42.71,-31.32
-1.08,-0.56,1.86,-14.7,-12.99,-29.73
-1.06,-0.57,1.86,4.04,14.11,-37.24
-1.07,-0.62,1.89,11.73,1.66,-22.16
-1.07,-0.62,1.9,11.85,-21.41,-0.68
-1.03,-0.63,1.87,18.2,-71.28,31.61
-1.11,-0.58,1.9,8.01,-75.55,11.65
-1.02,-0.57,1.85,24.0,-72.86,7.99
-1.1,-0.64,1.85,-7.98,-128.47,39.67
-0.91,-0.72,1.67,-8.35,-78.97,16.84
-0.86,-0.63,1.74,-11.16,-50.04,-6.78
-0.86,-0.62,1.74,-4.14,-44.91,-2.75
-0.86,-0.67,1.7,-1.69,-35.02,-9.28
-0.87,-0.63,1.76,-3.04,-27.82,-15.14
-0.86,-0.63,1.76,-2.79,-31.24,-12.34
-0.86,-0.64,1.75,-2.92,-29.1,-12.09
-0.87,-0.62,1.76,-1.69,-29.16,-10.2
-0.86,-0.63,1.75,-1.57,-30.75,-8.86
-0.88,-0.64,1.76,-1.39,-29.1,-11.42
-0.87,-0.63,1.76,-2.85,-31.91,-10.08
-0.86,-0.64,1.74,-1.88,-31.18,-11.11
-0.87,-0.62,1.76,-1.69,-28.49,-12.46
-0.86,-0.62,1.76,-1.76,-30.93,-9.41
-0.87,-0.63,1.75,-2.43,-30.99,-10.63
-0.87,-0.63,1.76,-2.37,-31.3,-10.69
-0.87,-0.63,1.75,-2.73,-31.73,-10.93
