accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-1.11,-0.4,1.91,2.38,-4.6,-0.82
-1.11,-0.4,1.94,2.63,-5.02,0.33
-1.11,-0.43,1.9,0.98,-4.35,-1.19
-1.14,-0.42,1.91,0.12,-4.53,-2.11
-1.11,-0.4,1.92,1.04,-4.78,-3.63
-1.12,-0.4,1.91,0.37,-8.26,-3.33
-1.09,-0.39,1.91,1.28,-8.07,-5.34
-1.12,-0.41,1.9,1.16,-5.76,-4.98
-1.13,-0.41,1.89,-3.05,-0.38,-15.47
-1.11,-0.51,1.95,-6.22,1.81,-19.38
-1.17,-0.38,1.94,-5.61,-8.87,-3.82
-1.14,-0.39,1.92,1.83,-8.99,-1.07
-0.85,-0.57,1.9,-5.55,-0.38,1.31
-1.15,-0.38,1.91,10.26,3.83,17.61
-1.1,-0.35,1.79,31.43,-22.17,21.76
-1.18,-0.34,1.89,44.68,-31.63,6.99
-1.12,-0.39,1.92,40.41,-20.53,-16.08
-1.09,-0.36,2.0,-10.37,3.22,-40.07
-1.08,-0.39,1.82,-58.35,10.05,-26.03
-1.13,-0.34,1.8,-41.01,10.42,-13.4
-1.19,-0.38,1.94,2.81,19.02,6.44
-1.06,-0.15,2.23,27.83,-38.41,40.98
-1.15,-0.4,1.89,15.5,-66.12,60.64
-1.04,-0.51,1.72,2.63,-31.39,21.21
-1.05,-0.4,1.83,-7.63,-1.3,-5.65
-1.05,-0.42,1.85,2.56,-9.05,4.36
-1.04,-0.43,1.84,-1.71,-0.81,-2.53
-1.04,-0.4,1.86,1.34,-2.58,-1.98
-1.05,-0.42,1.83,0.67,-2.89,-2.17
-1.05,-0.41,1.84,2.75,1.2,-2.84
-1.05,-0.41,1.86,2.93,-4.35,2.1
-1.04,-0.41,1.82,1.4,-0.63,-0.76
-1.05,-0.4,1.84,2.32,-1.91,-1.37
-1.05,-0.4,1.85,1.22,-1.85,-1.19
-1.05,-0.41,1.84,1.83,-2.03,-0.7
-1.05,-0.41,1.85,0.61,2.61,-4.06
