accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.75,-0.8,1.83,8.01,7.5,-4.11
-0.73,-0.8,1.8,5.51,6.53,-13.44
-0.71,-0.77,1.78,6.0,6.04,-16.19
-0.72,-0.78,1.84,7.77,0.61,-15.52
-0.73,-0.74,1.79,-1.82,-7.45,-14.05
-0.73,-0.81,1.68,-3.22,12.02,-29.98
-0.7,-0.81,1.81,-18.72,5.43,-12.71
-0.74,-0.73,1.74,12.04,2.07,21.04
-0.81,-0.73,1.8,45.24,-32.66,25.25
-0.8,-0.72,1.82,50.37,-25.52,-5.51
-0.69,-0.77,1.78,17.04,-15.2,-19.43
-0.7,-0.79,1.84,-26.9,-10.5,-21.01
-0.65,-0.78,1.72,-65.29,-23.87,7.12
-0.71,-0.73,1.73,-38.8,12.63,12.74
-0.82,-0.65,1.74,-14.39,5.12,15.55
-0.72,-0.77,1.81,-4.81,-2.44,0.23
-0.72,-0.75,1.79,-21.04,26.73,-0.99
-0.73,-0.76,1.83,40.73,-3.05,-18.75
-0.76,-0.73,1.77,38.77,18.12,-25.71
-0.74,-0.78,1.83,28.58,7.44,-8.38
-0.79,-0.71,1.75,13.14,-30.89,-1.3
-0.63,-0.13,2.36,1.05,-66.04,94.71
-0.79,-0.92,1.6,-3.95,-150.88,119.8
-0.58,-1.03,1.27,-18.91,-52.74,30.01
-0.53,-0.8,1.61,-14.33,28.44,-24.74
-0.57,-0.79,1.7,1.18,-1.22,2.43
-0.53,-0.84,1.57,-1.14,8.66,-7.52
-0.53,-0.8,1.64,-2.0,13.0,-8.68
-0.56,-0.8,1.65,2.88,4.15,-4.78
-0.54,-0.81,1.63,-0.47,7.57,-7.58
-0.55,-0.81,1.62,3.07,9.64,-7.46
-0.58,-0.8,1.66,3.43,14.89,-7.1
-0.56,-0.79,1.68,0.93,6.83,-7.1
-0.58,-0.79,1.67,0.02,4.51,-3.98
-0.58,-0.79,1.67,-0.78,4.64,-3.74
-0.59,-0.78,1.68,-1.14,3.6,-2.95
-0.58,-0.79,1.68,0.87,-0.49,-0.75
