accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.78,-0.71,1.72,4.24,-9.01,1.97
-0.79,-0.71,1.75,1.25,-3.88,-3.95
-0.77,-0.69,1.7,1.5,-21.64,1.6
-0.77,-0.71,1.7,4.0,-9.31,-3.71
-0.78,-0.67,1.74,3.51,-4.31,-4.32
-0.79,-0.69,1.73,8.82,-11.57,4.84
-0.78,-0.72,1.69,3.21,5.4,-7.43
-0.84,-0.73,1.73,-1.37,24.93,-32.46
-0.83,-0.69,1.75,2.66,-1.87,5.02
-0.84,-0.7,1.8,-16.08,-7.3,-17.56
-0.8,-0.69,1.72,-19.01,-19.38,-14.63
-0.8,-0.69,1.72,-10.65,-24.14,-0.9
-0.79,-0.68,1.71,-11.02,-5.47,6.85
-0.75,-0.68,1.66,10.71,8.51,30.78
-0.83,-0.65,1.69,25.79,-10.23,20.64
-0.86,-0.64,1.74,49.84,-19.2,2.03
-0.81,-0.68,1.75,30.98,-5.04,-28.31
-0.82,-0.7,1.8,-1.92,11.32,-36.24
-0.84,-0.69,1.74,-42.63,10.89,-32.82
-0.83,-0.6,1.6,-7.72,4.18,-4.5
-0.85,-0.61,1.76,10.53,-2.29,8.13
-0.87,-0.68,1.78,3.94,-61.25,58.91
-0.77,-0.8,1.63,-0.4,-51.55,29.37
-0.74,-0.7,1.7,-15.41,-57.04,15.15
-0.72,-0.75,1.59,6.56,-34.34,8.86
-0.7,-0.73,1.64,4.91,0.45,-9.26
-0.7,-0.67,1.69,5.77,1.25,-5.17
-0.71,-0.7,1.62,4.61,-0.16,1.05
-0.7,-0.7,1.65,6.01,6.74,-3.04
