accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.73,-0.67,1.67,7.66,-14.14,-2.91
-0.72,-0.69,1.63,6.56,-7.85,-3.46
-0.78,-0.68,1.63,4.18,1.61,-23.67
-0.76,-0.66,1.68,-5.95,-12.24,-1.82
-0.49,-0.92,1.92,11.57,-41.85,-2.98
-0.7,-0.76,1.76,-22.86,-68.15,32.3
-0.74,-0.62,1.61,-41.72,-83.41,10.51
-0.79,-0.62,1.67,-24.93,-19.39,-11.95
-0.54,-0.63,1.4,19.62,10.58,-21.41
-0.71,-0.81,1.59,25.42,-27.32,34.26
-0.67,-0.8,1.56,23.47,-8.4,13.56
-0.8,-0.74,1.69,16.75,7.04,-23.12
-0.69,-0.69,1.63,-6.07,-18.41,4.35
-1.31,-0.34,2.31,1.68,-49.29,-1.08
-0.48,-0.72,1.38,-30.91,-43.56,-41.98
-0.71,-0.69,1.66,-5.95,5.52,-5.11
-0.47,-0.26,1.96,18.71,-76.76,69.6
-0.51,-0.81,1.59,10.47,-106.79,79.24
-0.57,-0.9,1.21,-2.59,-64.61,14.72
-0.5,-0.75,1.42,-7.05,-3.52,-26.05
-0.47,-0.63,1.55,4.49,-27.87,2.88
-0.48,-0.71,1.48,6.93,-40.44,31.57
-0.49,-0.8,1.27,11.38,-38.86,27.6
-0.53,-0.85,1.33,10.65,2.77,2.52
-0.49,-0.76,1.42,4.97,13.76,-9.87
