accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.49,-0.77,1.51,-0.29,-2.29,-0.95
-0.48,-0.8,1.5,-0.11,-4.37,-0.09
-0.47,-0.77,1.51,-3.4,-6.62,-3.63
-0.48,-0.79,1.48,-2.43,-4.06,-5.89
-0.47,-0.79,1.47,-12.62,4.73,-22.74
-0.5,-0.76,1.54,-6.58,3.69,-12.18
-0.5,-0.83,1.44,-4.99,-6.32,-13.34
-0.55,-0.76,1.56,-22.69,13.09,-15.05
-0.52,-0.78,1.52,-0.78,2.65,-1.62
-0.52,-0.74,1.46,9.9,4.42,17.36
-0.59,-0.75,1.55,36.09,1.31,7.78
-0.5,-0.83,1.6,-3.89,-8.33,-25.3
-0.44,-0.8,1.48,-30.2,2.96,-11.63
-0.61,-0.64,1.4,-17.81,-0.83,-3.82
-0.51,-0.78,1.52,-14.14,28.17,0.4
-0.54,-0.82,1.58,32.24,51.72,-35.0
-0.54,-0.84,1.61,32.97,27.62,-10.65
-0.59,-0.81,1.58,24.12,-44.47,47.21
-0.64,-0.77,1.58,10.51,-49.17,25.11
-0.64,-0.75,1.6,-31.97,-44.28,-1.44
-0.42,-0.72,1.36,-31.3,-7.72,-28.96
-0.55,-0.76,1.53,8.68,-1.19,4.06
-0.46,-0.46,1.84,6.18,-52.28,77.3
-0.46,-0.88,1.41,12.71,-98.3,91.58
-0.36,-0.99,1.21,-3.22,-25.12,21.21
-0.31,-0.81,1.41,-5.6,14.55,-15.41
-0.36,-0.78,1.5,13.14,-16.82,13.46
-0.35,-0.86,1.39,4.47,-6.99,1.74
-0.35,-0.83,1.4,2.34,5.15,-10.96
-0.34,-0.8,1.42,4.23,3.57,-7.42
-0.34,-0.81,1.42,3.98,-1.93,-1.01
