accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.47,-0.77,1.54,-0.91,-9.86,4.64
-0.46,-0.8,1.48,3.17,-10.23,5.07
-0.46,-0.8,1.5,-2.2,-5.83,-0.49
-0.47,-0.81,1.51,-6.47,-11.51,-4.94
-0.45,-0.84,1.48,-7.02,-4.0,-7.93
-0.49,-0.82,1.49,-15.14,1.74,-34.48
-0.54,-0.77,1.53,-13.92,-3.7,-6.04
-0.58,-0.64,1.38,20.69,-2.42,-15.63
-0.46,-0.97,1.65,39.86,44.4,-13.67
-0.48,-0.89,1.69,11.23,10.65,-0.06
-0.55,-0.78,1.52,18.92,-50.39,-1.04
-0.56,-0.74,1.51,-25.15,-45.14,2.81
-0.52,-0.73,1.45,-18.86,-17.12,-11.23
-0.53,-0.72,1.45,-13.0,45.99,-24.35
-0.56,-0.78,1.55,26.61,48.0,-23.07
-0.77,-0.43,1.56,62.26,-13.1,-8.42
-0.47,-0.68,1.57,-17.03,-164.71,114.87
-0.37,-0.95,1.19,-13.98,-63.76,81.24
-0.37,-0.9,1.22,-14.46,-32.44,17.52
-0.35,-0.82,1.44,6.04,-11.63,1.59
-0.34,-0.86,1.37,6.29,-1.87,-4.09
-0.34,-0.82,1.45,2.5,8.02,-7.75
-0.34,-0.82,1.43,1.47,-4.55,0.43
-0.35,-0.84,1.41,0.73,-0.46,-0.24
-0.36,-0.85,1.41,1.95,2.28,-3.11
-0.33,-0.83,1.41,4.7,-0.71,-1.28
-0.34,-0.84,1.42,5.31,-2.84,-1.53
-0.35,-0.81,1.43,2.08,-1.5,-1.95
