accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.6,-0.72,1.55,-0.12,-6.85,-0.78
-0.61,-0.73,1.54,-1.34,-4.9,-2.98
-0.58,-0.72,1.5,-7.93,16.34,-24.64
-0.67,-0.7,1.61,-3.85,10.85,-19.94
-0.65,-0.7,1.58,-6.47,-5.51,-15.98
-0.65,-0.7,1.58,-18.43,-4.96,-21.41
-0.66,-0.6,1.66,-33.39,-6.85,-19.39
-0.69,-0.69,1.6,-17.27,4.87,-2.37
-0.67,-0.73,1.54,-8.06,7.86,-15.43
-0.69,-0.66,1.64,-1.22,29.16,-17.26
-0.73,-0.65,1.67,-0.12,11.46,-10.18
-0.75,-0.69,1.64,0.37,-5.75,-2.85
-0.76,-0.63,1.65,-22.58,5.84,-10.24
-0.74,-0.68,1.64,4.82,-10.58,2.82
-0.74,-0.68,1.66,-19.53,36.85,-4.26
-0.78,-0.77,1.78,7.26,8.65,0.44
-0.79,-0.69,1.69,13.79,-33.1,-4.14
-0.75,-0.63,1.6,-9.16,-37.0,0.87
-0.61,-0.61,1.59,14.77,10.24,-11.28
-0.78,-0.68,1.63,23.44,-38.29,38.28
-0.7,-0.85,1.5,6.1,19.21,-5.42
-0.72,-0.7,1.67,-8.3,21.16,-26.05
-0.75,-0.75,1.51,-6.78,21.89,-27.57
-0.8,-0.68,1.66,-10.68,12.56,-0.23
-0.78,-0.65,1.63,-8.3,31.6,-27.7
-0.79,-0.72,1.76,0.61,59.43,-28.73
-0.88,-0.69,1.73,13.12,16.1,-9.2
-0.89,-0.72,1.81,43.09,-37.55,27.85
-0.83,-0.35,1.61,-44.01,-169.82,75.21
-0.69,-0.8,1.56,-9.64,-135.82,64.71
-0.56,-0.92,1.28,-16.05,-43.6,13.81
-0.59,-0.74,1.57,-9.09,32.03,-27.15
-0.64,-0.72,1.64,-24.05,15.24,-28.49
-0.61,-0.69,1.55,-18.92,9.2,-21.04
-0.64,-0.68,1.62,-4.64,3.34,-5.72
