accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.65,-0.78,1.59,-3.75,-6.32,5.72
-0.67,-0.73,1.57,-10.71,4.97,-8.68
-0.67,-0.69,1.48,-22.86,5.21,-10.03
-0.73,-0.69,1.61,-5.64,0.33,-8.74
-0.38,-0.3,2.0,-21.15,22.43,-33.71
-0.72,-0.7,1.61,-0.7,-9.62,2.73
-0.73,-0.73,1.63,-13.15,30.54,-4.23
-0.75,-0.71,1.66,-1.62,0.33,-7.1
-1.01,-0.52,1.54,-17.55,-3.39,33.07
-0.7,-0.68,1.62,1.56,2.29,4.87
-0.57,-0.43,2.14,68.64,-29.88,53.7
-0.73,-0.89,1.46,12.67,-21.03,4.62
-0.68,-0.69,1.6,-6.01,18.34,-33.22
-0.7,-0.78,1.49,-4.79,19.56,-19.49
-0.75,-0.68,1.63,-12.24,8.21,-2.34
-0.78,-0.59,1.55,20.54,30.42,-13.93
-0.69,-0.8,1.61,32.5,77.91,-35.97
-0.76,-0.68,1.6,16.51,33.05,-13.44
-0.67,-0.77,1.67,32.32,-74.01,65.78
-1.08,-0.06,2.7,13.58,-77.06,49.97
-1.15,-1.14,1.3,-37.51,-177.22,74.69
-0.54,-1.09,0.97,-9.73,-69.8,28.55
-0.51,-0.67,1.49,-6.56,21.08,-21.87
-0.59,-0.7,1.57,7.11,-15.35,6.15
-0.58,-0.82,1.34,-1.74,18.7,-12.96
-0.53,-0.67,1.52,-9.18,16.87,-20.89
-0.57,-0.71,1.54,7.6,-6.02,3.89
-0.55,-0.73,1.48,0.34,1.06,-4.17
-0.6,-0.74,1.52,-3.69,10.4,-11.67
-0.57,-0.7,1.53,-2.17,4.85,-9.11
-0.58,-0.72,1.52,1.8,-3.39,-0.75
-0.59,-0.71,1.52,0.64,-2.84,1.27
