accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.66,-0.8,1.76,1.34,-13.98,6.68
-0.66,-0.81,1.83,-4.45,1.53,-3.33
-0.64,-0.81,1.79,-10.68,4.4,-10.59
-0.66,-0.81,1.82,-8.54,16.11,-19.57
-0.67,-0.81,1.85,-3.97,21.79,-19.5
-0.74,-0.79,1.87,-0.79,15.02,-13.95
-0.69,-0.79,1.86,0.79,4.15,-18.59
-0.76,-0.78,1.8,15.32,6.96,-34.52
-0.61,-0.62,1.85,13.61,-17.46,-11.75
-0.72,-0.68,1.79,23.56,4.52,-24.81
-0.77,-0.65,1.7,91.0,28.02,-32.81
-0.72,-0.75,1.81,71.78,19.41,-24.45
-0.74,-0.61,2.02,59.27,13.37,10.1
-0.73,-0.81,1.52,-48.4,-57.49,39.88
-0.72,-0.64,1.66,-51.27,-0.55,-19.69
-0.7,-0.73,1.62,-25.02,12.27,-26.83
-0.76,-0.75,1.68,-17.39,36.13,-49.05
-0.76,-0.71,1.78,-16.6,23.32,-10.59
-0.76,-0.72,1.8,-14.65,30.09,-10.35
-0.76,-0.69,1.72,32.29,19.72,3.08
-0.77,-0.77,1.88,13.06,-1.1,-5.53
-0.76,-0.7,1.76,-2.2,-15.99,-8.03
-0.88,-0.72,1.84,-23.74,2.02,-50.57
-0.69,-0.75,1.72,-17.27,24.9,-35.25
-0.83,-0.71,1.82,-2.5,18.07,-8.76
-0.18,-0.51,1.51,57.44,-38.57,27.68
-0.8,-0.76,1.77,-13.12,-121.83,119.66
-0.56,-0.91,1.49,-5.13,-75.99,59.54
-0.48,-0.88,1.5,4.82,-6.47,13.15
-0.57,-0.83,1.73,23.93,2.14,-6.99
-0.54,-0.82,1.72,9.77,17.03,-17.06
-0.55,-0.78,1.71,-2.07,19.41,-20.85
-0.52,-0.78,1.69,7.26,14.47,-12.97
