accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.72,-0.76,1.85,13.07,-3.36,-10.06
-0.71,-0.77,1.83,10.02,-2.57,-7.68
-0.71,-0.76,1.84,11.3,-2.26,-9.39
-0.72,-0.78,1.89,9.89,-3.36,-7.86
-0.72,-0.78,1.85,14.04,-0.31,-10.06
-0.72,-0.81,1.88,17.77,4.94,-13.78
-0.6,-0.67,1.88,-2.74,9.27,-10.98
-0.72,-0.76,1.84,-0.48,14.46,-6.7
-0.98,-0.37,1.58,-0.73,36.31,-11.22
-0.91,-0.55,1.74,67.02,-24.11,-45.65
-0.7,-0.71,1.85,71.05,-24.23,-63.71
-0.71,-0.78,1.88,18.68,-8.18,-26.54
-0.79,-0.67,1.77,20.58,-3.36,-7.68
-0.59,-0.36,2.06,-26.18,-41.87,62.33
-1.04,-0.98,1.66,2.08,-75.2,83.02
-0.75,-0.94,1.45,-15.5,-0.49,-7.01
-0.61,-0.63,1.79,-6.28,27.59,-39.72
-0.67,-0.74,1.73,17.95,-16.79,-6.34
-0.68,-0.78,1.67,10.44,3.66,-18.0
-0.67,-0.72,1.77,8.25,7.2,-18.48
