accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.58,-0.74,1.57,-15.08,32.47,3.22
-0.58,-0.73,1.56,-15.33,33.45,2.79
-0.58,-0.74,1.55,-15.33,32.29,3.1
-0.57,-0.73,1.55,-14.29,31.07,4.01
-0.58,-0.73,1.54,-15.57,33.63,3.1
-0.58,-0.72,1.55,-15.82,33.88,2.06
-0.59,-0.73,1.5,-14.59,37.6,-1.78
-0.61,-0.75,1.56,-9.28,52.06,-11.24
-0.6,-0.7,1.56,-0.98,35.1,-15.64
-0.58,-0.75,1.6,-14.84,29.54,-9.29
-0.61,-0.69,1.55,-18.81,43.82,-1.36
-0.64,-0.68,1.55,-9.71,41.69,3.1
-0.69,-0.68,1.52,0.05,38.15,-14.72
-0.63,-0.78,1.58,-2.69,40.96,-28.33
-0.64,-0.65,1.6,-16.73,46.08,-7.7
-0.53,-0.54,1.57,-19.54,18.13,30.44
-0.71,-0.75,1.5,-25.95,-12.82,26.48
-0.66,-0.71,1.55,-52.25,37.48,-45.0
-0.69,-0.82,1.51,-0.86,12.64,14.51
-0.72,-0.78,1.54,-3.0,32.23,-10.21
-0.64,-0.56,1.59,-16.12,24.05,14.15
-0.66,-0.76,1.55,-22.77,30.15,9.02
-0.67,-0.69,1.52,-21.86,53.41,-5.69
-0.65,-0.64,1.61,-12.7,46.02,3.71
-0.65,-0.68,1.57,-14.35,42.48,3.53
-0.67,-0.68,1.59,-20.21,46.94,-1.42
-0.69,-0.72,1.58,-21.49,48.22,-8.68
-0.68,-0.68,1.61,-21.19,21.79,11.22
-0.67,-0.68,1.6,-33.45,35.04,0.72
-0.67,-0.68,1.6,-18.81,46.94,8.71
-0.67,-0.7,1.63,9.09,40.04,-1.36
-0.66,-0.71,1.64,-13.86,39.8,3.4
-0.69,-0.68,1.6,-3.55,3.97,0.66
-0.72,-0.64,1.57,-43.71,5.31,10.18
-0.66,-0.68,1.58,-13.44,32.47,9.26
-0.68,-0.65,1.51,-18.01,52.86,-17.41
-0.64,-0.72,1.63,-5.26,47.06,-9.72
-0.7,-0.68,1.6,-7.82,18.07,-0.01
-0.7,-0.62,1.54,-38.58,6.9,14.7
-0.68,-0.62,1.45,-36.2,21.55,0.11
-0.72,-0.63,1.57,-27.78,57.13,-9.41
-0.72,-0.64,1.56,-1.72,73.43,-14.78
-0.7,-0.79,1.95,58.83,31.5,-10.08
-0.64,-0.74,1.6,-27.23,-65.18,73.41
-0.66,-0.77,1.35,-23.26,-23.92,43.14
-0.61,-0.78,1.36,-18.68,15.14,8.47
-0.57,-0.7,1.5,-9.22,34.73,-6.36
-0.57,-0.68,1.55,-10.26,29.48,3.47
-0.58,-0.73,1.5,-9.77,26.55,9.75
-0.59,-0.74,1.46,-9.96,32.47,1.57
-0.56,-0.69,1.49,-10.02,31.92,1.57
-0.57,-0.71,1.48,-7.45,25.27,9.94
