accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.58,-0.79,1.7,0.11,-7.76,1.71
-0.58,-0.79,1.7,-0.63,-8.06,1.83
-0.58,-0.79,1.69,-1.42,-6.41,1.77
-0.58,-0.8,1.68,-2.82,-3.12,1.59
-0.59,-0.79,1.7,-3.01,-6.48,1.28
-0.59,-0.79,1.7,0.05,-0.55,0.18
-0.6,-0.77,1.69,0.23,0.48,-0.98
-0.6,-0.77,1.71,2.37,-7.63,-6.29
-0.58,-0.8,1.7,3.4,-13.74,-4.64
-0.54,-0.82,1.75,5.23,-16.12,-5.49
-0.6,-0.78,1.67,3.89,-3.85,-0.49
-0.61,-0.81,1.66,5.36,7.01,4.27
-0.56,-0.78,1.7,-3.98,27.28,11.29
-0.64,-0.75,1.78,-6.48,25.2,13.18
-0.75,-0.7,1.64,40.15,56.76,-49.07
-0.58,-0.85,1.82,17.87,24.59,-37.29
-0.62,-0.75,1.87,-1.72,-23.26,0.73
-0.69,-0.74,1.75,-17.23,-45.29,36.38
-0.66,-0.8,1.63,4.62,-5.8,20.63
-0.69,-0.78,1.75,8.9,11.59,1.28
-0.75,-0.69,1.75,-1.97,0.06,-9.77
-0.61,-0.77,1.76,9.99,-24.18,-29.48
-0.66,-0.73,1.8,-14.42,-4.58,-9.7
-0.65,-0.72,1.98,-13.38,-37.79,24.78
-0.36,-0.49,1.76,-13.02,-19.72,3.72
-0.74,-0.62,1.57,31.3,-9.77,-2.32
-0.63,-0.78,1.79,29.04,11.84,-9.09
-0.7,-0.74,1.73,4.32,-13.8,-1.83
-0.71,-0.68,1.7,-26.38,-39.13,24.35
-0.74,-0.7,1.81,-26.57,-34.55,2.32
-0.65,-0.71,1.62,-15.82,25.32,-7.81
-0.74,-0.68,1.59,34.1,38.87,-20.02
-0.73,-0.74,2.1,70.24,-11.42,-0.98
-0.78,-0.73,1.76,-37.37,-98.33,97.72
-0.6,-0.9,1.37,-29.19,-94.92,55.48
-0.57,-0.98,1.4,-14.91,-18.56,-9.15
-0.54,-0.71,1.71,17.38,0.18,-13.18
-0.53,-0.76,1.67,15.3,-29.49,19.17
-0.56,-0.87,1.56,3.95,-12.82,2.93
-0.54,-0.8,1.6,4.75,-2.81,-10.99
-0.56,-0.78,1.61,8.04,-8.98,-7.93
