accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.52,-0.76,1.53,5.88,-2.6,-3.91
-0.52,-0.76,1.52,6.06,-2.29,-4.21
-0.52,-0.76,1.52,5.63,-1.86,-3.73
-0.52,-0.76,1.52,5.15,-1.86,-3.97
-0.53,-0.76,1.52,5.82,-0.89,-4.4
-0.55,-0.75,1.52,6.43,2.53,-7.2
-0.53,-0.76,1.52,6.67,9.85,-10.56
-0.56,-0.74,1.55,7.89,14.74,-10.87
-0.56,-0.75,1.52,9.54,9.49,-10.93
-0.56,-0.75,1.53,11.31,1.37,-12.58
-0.57,-0.73,1.56,10.7,3.57,-13.19
-0.57,-0.73,1.51,9.42,-1.13,-8.3
-0.58,-0.72,1.55,10.46,8.08,-10.56
-0.59,-0.72,1.52,8.87,5.03,-10.38
-0.6,-0.71,1.54,9.36,1.86,-8.85
-0.62,-0.72,1.61,7.71,-3.15,-7.51
-0.62,-0.79,1.5,-4.19,-3.15,-24.42
-0.62,-0.74,1.54,-10.36,19.31,-44.13
-0.73,-0.53,1.54,-21.59,-0.64,-7.33
-0.66,-0.71,1.58,-2.18,16.51,-6.05
-0.87,-0.59,1.64,47.38,-7.91,42.29
-0.74,-0.7,1.66,57.03,-29.09,-10.5
-0.55,-0.85,1.75,11.19,-19.69,-34.06
-0.61,-0.72,1.55,-32.02,3.26,-29.73
-0.61,-0.71,1.52,-29.03,-2.05,-0.06
-0.62,-0.68,1.48,-4.07,21.15,32.41
-0.74,-0.64,1.56,51.9,-5.83,31.25
-0.29,-0.4,2.35,51.84,-70.41,27.04
-0.57,-0.8,1.4,-0.71,-101.47,28.75
-0.56,-0.84,1.3,0.51,-26.58,8.3
-0.53,-0.74,1.45,2.03,1.19,-7.63
-0.53,-0.75,1.44,4.11,1.25,-5.43
-0.52,-0.74,1.45,1.18,9.55,-8.18
-0.54,-0.72,1.48,5.7,6.62,-8.67
-0.53,-0.72,1.46,8.56,3.45,-5.43
-0.53,-0.72,1.48,9.72,3.57,-2.81
-0.55,-0.73,1.49,7.16,4.85,-5.19
