accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.54,-0.68,1.57,-103.89,60.23,-85.69
-0.86,-0.77,1.88,-23.69,-13.13,18.38
-0.73,-0.74,1.63,13.11,-30.4,31.75
-0.79,-0.83,1.68,16.83,-17.95,15.63
-0.79,-0.72,1.77,20.13,0.72,4.22
-0.79,-0.77,1.78,15.13,-7.64,-2.5
-0.82,-0.66,1.7,-7.46,4.63,1.78
-0.8,-0.75,1.77,-17.41,8.84,13.25
-0.89,-0.61,1.67,46.19,10.06,-8.35
-0.85,-0.84,1.73,99.96,7.13,18.2
-0.81,-0.79,1.85,72.13,-45.42,34.86
-0.84,-0.79,1.62,-49.39,-94.86,76.97
-0.77,-0.78,1.44,-39.44,-29.73,21.86
-0.8,-0.7,1.59,-22.59,37.1,-35.7
-0.9,-0.76,1.85,-15.58,-16.43,7.76
-0.73,-0.7,1.64,-20.76,-6.05,-12.38
-0.77,-0.69,1.66,-5.26,13.6,-13.48
-0.75,-0.74,1.7,17.2,18.18,14.11
-0.84,-0.8,1.84,84.1,-60.62,74.29
-0.75,-0.51,1.89,-21.74,-110.6,95.59
-0.47,-0.81,1.47,-21.5,-135.57,60.07
-0.58,-0.99,1.29,14.94,-58.79,23.02
-0.66,-0.76,1.74,4.32,26.85,-17.69
-0.64,-0.74,1.7,-0.44,-19.91,-10.06
-0.61,-0.76,1.59,9.82,-21.55,11.24
-0.62,-0.74,1.64,3.96,-2.94,12.64
-0.68,-0.78,1.64,18.79,-8.86,28.45
