accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.47,-0.86,1.63,3.28,-5.31,0.06
-0.47,-0.85,1.64,3.34,-5.56,0.55
-0.46,-0.86,1.63,3.28,-5.5,0.18
-0.47,-0.85,1.64,3.34,-4.95,-0.06
-0.47,-0.86,1.63,2.49,-5.25,0.24
-0.47,-0.85,1.63,2.37,-4.4,0.61
-0.47,-0.86,1.65,1.09,-6.35,2.69
-0.48,-0.86,1.64,-1.23,-3.61,1.95
-0.45,-0.85,1.61,-3.49,-2.32,2.08
-0.45,-0.87,1.65,0.96,-8.98,9.83
-0.46,-0.9,1.65,3.59,-11.78,14.16
-0.33,-0.77,1.61,19.88,-10.44,47.3
-0.49,-0.89,1.64,33.01,-9.95,60.67
-0.4,-1.31,1.88,21.29,-50.3,20.45
0.16,-1.29,1.47,-14.72,8.66,1.65
-0.33,-0.89,1.46,-15.45,17.21,21.12
-0.29,-1.03,1.77,-20.64,-19.78,-10.07
-0.35,-0.78,1.62,-18.69,38.81,-17.94
-0.41,-0.94,1.54,7.86,-57.87,4.21
-0.35,-1.01,1.64,-23.82,-15.69,-11.66
-0.38,-0.96,1.68,-6.85,24.96,-28.32
-0.37,-0.92,1.74,-3.19,6.04,-14.34
-0.36,-1.02,1.6,-4.1,9.15,-6.78
-0.42,-0.91,1.7,-29.25,10.07,-17.09
-0.44,-0.95,1.8,-5.38,-3.85,-8.67
-0.46,-0.95,1.79,-9.66,9.39,-19.53
-0.47,-0.92,1.77,-8.44,5.79,-26.92
-0.51,-0.94,1.81,0.17,9.27,-25.33
-0.24,-0.76,1.76,-13.01,29.6,-34.79
-0.57,-0.85,1.77,14.15,31.67,23.93
-0.64,-0.87,1.86,53.21,-3.85,6.23
-0.49,-0.98,1.86,22.75,-29.24,-13.61
-0.46,-0.96,1.82,-25.22,-35.83,-16.48
-0.56,-0.75,1.61,-26.07,-5.62,3.48
-0.52,-0.9,1.79,-4.53,15.93,4.76
-0.58,-0.9,1.77,42.04,8.54,-23.99
-0.54,-0.92,1.83,69.63,-6.23,-3.85
-0.52,-0.93,1.85,30.81,3.17,-4.03
-0.57,-0.92,1.73,29.34,-66.41,4.27
-0.48,-0.78,1.52,-100.35,-20.39,-39.67
-0.62,-0.86,1.81,13.35,3.72,6.84
-0.57,-0.81,1.88,28.06,-65.8,80.32
-0.41,-0.94,1.68,23.67,-80.14,80.93
-0.4,-1.02,1.64,-12.59,-76.3,53.89
-0.32,-1.04,1.56,-12.59,-69.28,34.73
-0.24,-0.99,1.64,-7.52,-61.47,33.2
-0.27,-0.96,1.57,-0.93,-44.56,27.95
-0.31,-1.03,1.51,0.29,-35.28,16.05
-0.21,-1.06,1.46,1.21,4.88,-16.97
-0.19,-0.96,1.59,7.68,19.16,-18.25
-0.24,-0.95,1.62,11.28,-2.02,0.92
-0.25,-1.01,1.59,6.88,-8.67,4.58
-0.23,-1.0,1.56,4.32,-1.77,0.49
-0.25,-0.99,1.6,0.41,3.35,-0.55
