accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.35,-0.78,1.42,-3.19,-6.64,4.92
-0.34,-0.77,1.41,-4.78,-3.59,3.02
-0.34,-0.77,1.41,-4.9,-4.69,3.21
-0.35,-0.77,1.42,-4.72,-5.79,2.23
-0.34,-0.76,1.42,-0.99,-10.73,3.33
-0.34,-0.76,1.41,-0.14,-10.55,6.5
-0.35,-0.76,1.43,-8.81,-0.29,3.76
-0.32,-0.76,1.39,-1.6,14.17,2.17
-0.35,-0.77,1.39,3.83,27.66,3.94
-0.37,-0.75,1.39,6.57,27.42,1.13
-0.39,-0.79,1.4,8.04,27.54,-0.76
-0.42,-0.76,1.44,-2.28,22.04,-3.02
-0.47,-0.79,1.45,-8.01,-2.13,-6.68
-0.46,-0.79,1.37,-5.51,11.24,-31.71
-0.55,-0.74,1.45,3.34,-51.08,-7.84
-0.65,-0.69,1.48,-19.0,-17.14,-35.06
-0.43,-0.68,1.36,4.68,24.18,-27.07
-0.43,-0.79,1.49,25.13,0.32,-2.16
-0.54,-0.71,1.43,-1.12,-5.3,2.47
-0.91,-0.37,1.2,-21.32,-26.36,66.93
-0.52,-0.71,1.44,-17.05,-27.82,3.63
-0.43,-0.66,1.29,-22.91,-21.54,-10.89
-0.44,-0.63,1.39,-4.96,0.8,9.74
-0.46,-0.72,1.45,-11.8,-52.11,55.15
-0.36,-0.82,1.29,-9.29,-62.79,34.94
-0.35,-0.76,1.39,-6.49,-13.17,7.11
-0.32,-0.78,1.33,-3.8,-7.68,8.27
-0.39,-0.76,1.43,-2.09,0.25,8.27
-0.33,-0.75,1.37,-0.02,-9.08,6.56
-0.33,-0.74,1.38,-2.64,-8.29,8.27
-0.35,-0.78,1.38,-0.57,-8.35,8.64
-0.33,-0.76,1.37,0.35,-6.4,8.21
