accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.51,-0.57,1.24,-6.44,-8.42,3.74
-0.57,-0.6,1.28,-4.73,-19.59,3.8
-0.53,-0.58,1.26,-12.48,-34.06,-15.85
-0.55,-0.6,1.25,-8.76,-33.81,-10.6
-0.52,-0.63,1.19,-3.75,-28.38,-19.51
-0.62,-0.51,1.26,-13.15,-22.09,-13.66
-0.55,-0.59,1.27,-8.39,-4.94,-5.78
-0.64,-0.54,1.27,23.22,-10.25,44.63
-0.66,-0.56,1.28,37.02,-77.45,25.47
-0.44,-0.59,1.21,12.85,-52.0,-43.87
-0.47,-0.57,1.19,8.82,-0.12,-22.08
-0.5,-0.58,1.23,4.67,9.03,6.49
-0.48,-0.63,1.27,15.78,-44.31,53.48
-0.65,-0.54,1.3,26.58,-64.39,55.31
-0.61,-0.47,1.37,-50.51,-208.13,45.43
-0.28,-0.8,0.85,-33.84,-162.6,33.46
-0.24,-0.74,0.93,-18.1,-48.03,-10.48
-0.3,-0.57,1.14,-5.28,-9.46,-5.11
-0.28,-0.66,1.08,5.65,-19.77,6.61
-0.3,-0.62,1.14,1.31,-10.5,-3.22
-0.3,-0.63,1.13,2.29,-17.88,-1.57
